palabra;valencia;pals
afortunada;2;
afortunadas;2;
afortunado;2;
afortunados;2;
afortunamos;2;
afortunan;2;
afortunando;2;
afortunar;2;
afortunas;2;
afortuné;2;
afortuno;2;
afortunó;2;
afrenta;-1;
afrentaba;-1;
afrentada;-1;
afrentadas;-1;
afrentado;-1;
afrentados;-1;
afrentamos;-1;
afrentan;-1;
afrentando;-1;
afrentar;-1;
afrentas;-1;
afrenté;-1;
afrento;-1;
afrentó;-1;
agobiados;-2;
agobiadoses;-2;
agoniza;-3;
agonizaba;-3;
agonizada;-3;
agonizadas;-3;
agonizado;-3;
agonizados;-3;
agonizamos;-3;
agonizan;-3;
agonizando;-3;
agonizante;-3;
agonizantes;-3;
agonizar;-3;
agonizares;-3;
agonizas;-3;
agonizé;-3;
agonizo;-3;
agonizó;-3;
agonizos;-3;
agota;-2;
agotaba;-2;
agotada;-2;
agotadas;-2;
agotado;-2;
agotados;-2;
agotamos;-2;
agotan;-2;
agotando;-2;
agotar;-2;
agotas;-2;
agoté;-2;
agoto;-2;
agotó;-2;
agradable;2;
agradables;2;
agradece;3;
agradecemos;3;
agradecen;3;
agradecer;3;
agradeces;3;
agradecí;3;
agradecía;3;
agradecida;3;
agradecidas;3;
agradecido;3;
agradecidos;3;
agradeciendo;3;
agradeció;3;
agradecir;3;
agradeco;3;
agrava;-2;
agravaba;-2;
agravada;-2;
agravadas;-2;
agravado;-2;
agravados;-2;
agravamos;-2;
agravan;-2;
agravando;-2;
agravante;-2;
agravantes;-2;
agravar;-2;
agravares;-2;
agravas;-2;
agravé;-2;
agravo;-2;
agravó;-2;
agravos;-2;
agresión;-2;
agresiones;-2;
agresiónes;-2;
agresioneses;-2;
agresiva;-2;
agresivas;-2;
agresivo;-2;
agresivos;-2;
agresor;-1;
agresores;-1;
aguante;2;
aguantes;2;
ahoga;-2;
ahogaba;-2;
ahogada;-2;
ahogadas;-2;
ahogado;-2;
ahogados;-2;
ahogamos;-2;
ahogan;-2;
ahogando;-2;
ahogar;-2;
ahogares;-2;
ahogas;-2;
ahogé;-2;
ahogo;-2;
ahogó;-2;
ahogos;-2;
ahogue;-2;
ahogues;-2;
aira;-3;
airaba;-3;
airada;-3;
airadas;-3;
airado;-3;
airados;-3;
airamos;-3;
airan;-3;
airando;-3;
airar;-3;
airas;-3;
airé;-3;
airo;-3;
airó;-3;
aisla;-1;
aislaba;-1;
aislada;-1;
aisladas;-1;
aislado;-1;
aislados;-1;
aislamos;-1;
aislan;-1;
aislando;-1;
aislar;-1;
aislas;-1;
aislé;-1;
aislo;-1;
aisló;-1;
ajuste;1;
ajustes;1;
alaba;3;
alababa;3;
alabada;3;
alabadas;3;
alabado;3;
alabados;3;
alabamos;3;
alaban;3;
alabanda;3;
alabandas;3;
alabando;3;
alabandos;3;
alabanza;3;
alabanzas;3;
alabanzases;3;
alabanzo;3;
alabanzos;3;
alabar;3;
alabas;3;
alabé;3;
alabo;3;
alabó;3;
alarma;-2;
alarmaba;-2;
alarmada;-2;
alarmadas;-2;
alarmado;-2;
alarmados;-2;
alarmamos;-2;
alarman;-2;
alarmando;-2;
alarmar;-2;
alarmas;-2;
alarmé;-2;
alarmista;-2;
alarmistas;-2;
alarmistases;-2;
alarmisto;-2;
alarmistos;-2;
alarmo;-2;
alarmó;-2;
alarmos;-2;
alborota;-2;
alborotas;-2;
alboroto;-2;
alborotos;-2;
alcances;1;
alcanceses;1;
alcanza;1;
alcanzaba;1;
alcanzada;1;
alcanzadas;1;
alcanzado;1;
alcanzados;1;
alcanzamos;1;
alcanzan;1;
alcanzando;1;
alcanzar;1;
alcanzares;1;
alcanzas;1;
alcanzé;1;
alcanzo;1;
alcanzó;1;
aleccionadora;1;
aleccionadoras;1;
aleccionadoro;1;
aleccionadoros;1;
alegrarse;4;
alegrarses;4;
alegre;2;
alegremente;3;
alegrementes;3;
alegres;2;
alegría;3;
alegrías;3;
alegrío;3;
alegríos;3;
alenta;2;
alentaba;2;
alentada;2;
alentadas;2;
alentado;2;
alentados;2;
alentamos;2;
alentan;2;
alentando;2;
alentar;2;
alentares;2;
alentas;2;
alenté;2;
alento;2;
alentó;2;
alérgica;-2;
alérgicas;-2;
alérgico;-2;
alérgicos;-2;
alerta;-1;
alertas;-1;
alerto;-1;
alertos;-1;
alfombrilla de ratón;-1;
algún tipo;0;
alicaída;-2;
alicaídas;-2;
alicaído;-2;
alicaídos;-2;
alienación;-2;
alienaciónes;-2;
alienta;2;
alientas;2;
aliento;2;
alientos;2;
alivia;2;
aliviaba;2;
aliviada;2;
aliviadas;2;
aliviado;2;
aliviados;2;
aliviamos;2;
alivian;2;
aliviando;2;
aliviar;1;
aliviares;1;
alivias;2;
alivié;2;
alivio;2;
alivió;2;
ama;3;
amaba;3;
amable;3;
amables;3;
amada;3;
amadas;3;
amado;3;
amados;3;
amamos;3;
aman;3;
amando;3;
amar;3;
amarga;-2;
amargaba;-2;
amargada;-2;
amargadas;-2;
amargado;-2;
amargados;-2;
amargamente;-2;
amargamentes;-2;
amargamos;-2;
amargan;-2;
amargando;-2;
amargar;-2;
amargas;-2;
amargé;-2;
amargo;-2;
amargó;-2;
amargos;-2;
amas;3;
ambiciosa;2;
ambiciosas;2;
ambicioso;2;
ambiciosos;2;
ambivalente;-1;
ambivalentes;-1;
amé;3;
amenaza;-2;
amenazaba;-2;
amenazada;-2;
amenazadas;-2;
amenazado;-2;
amenazados;-2;
amenazadoses;-2;
amenazamos;-2;
amenazan;-2;
amenazando;-2;
amenazante;-2;
amenazantes;-2;
amenazar;-2;
amenazares;-2;
amenazas;-2;
amenazases;-2;
amenazé;-2;
amenazo;-2;
amenazó;-2;
amenazos;-2;
amistosa;2;
amistosas;2;
amistoso;2;
amistosos;2;
amo;3;
amó;3;
amonesta;-2;
amonestaba;-2;
amonestada;-2;
amonestadas;-2;
amonestado;-2;
amonestados;-2;
amonestamos;-2;
amonestan;-2;
amonestando;-2;
amonestar;-2;
amonestares;-2;
amonestas;-2;
amonesté;-2;
amonesto;-2;
amonestó;-2;
amontona;-1;
amontonaba;-1;
amontonada;-1;
amontonadas;-1;
amontonado;-1;
amontonados;-1;
amontonamos;-1;
amontonan;-1;
amontonando;-1;
amontonar;-1;
amontonares;-1;
amontonas;-1;
amontoné;-1;
amontono;-1;
amontonó;-1;
amor;3;
amordaza;-2;
amordazaba;-2;
amordazada;-2;
amordazadas;-2;
amordazado;-2;
amordazados;-2;
amordazamos;-2;
amordazan;-2;
amordazando;-2;
amordazar;-2;
amordazas;-2;
amordazé;-2;
amordazo;-2;
amordazó;-2;
amores;3;
amorosa;2;
amorosas;2;
amoroso;2;
amorosos;2;
amplia;1;
ampliaba;1;
ampliada;1;
ampliadas;1;
ampliado;1;
ampliados;1;
ampliamos;1;
amplian;1;
ampliando;1;
ampliar;1;
ampliares;1;
amplias;1;
amplié;1;
amplio;1;
amplió;1;
analfabetisma;-2;
analfabetismas;-2;
analfabetismo;-2;
analfabetismos;-2;
Angers;-3;
angerses;-3;
angustia;-3;
angustiaba;-3;
angustiada;-3;
angustiadas;-3;
angustiado;-3;
angustiados;-3;
angustiamos;-3;
angustian;-3;
angustiando;-3;
angustiar;-3;
angustias;-2;
angustiases;-2;
angustié;-3;
angustio;-3;
angustió;-3;
angustios;-3;
angustiosa;-2;
angustiosas;-2;
angustioso;-2;
angustiosos;-2;
anhela;1;
anhelas;1;
anhelo;1;
anhelos;1;
anima;2;
ánima;2;
animaba;2;
animada;2;
animadas;2;
animado;2;
animados;2;
animamos;2;
animan;2;
animando;2;
animar;2;
animares;2;
animas;2;
ánimas;2;
animé;2;
animo;2;
animó;2;
ánimo;2;
ánimos;2;
animosidad;-2;
animosidades;-2;
ansia;-1;
ansias;-1;
ansiedad;-2;
ansiedades;-2;
ansio;-1;
ansios;-1;
ansiosa;-2;
ansiosas;-2;
ansioso;-2;
ansiosos;-2;
antagonista;-2;
antagonistas;-2;
antagonisto;-2;
antagonistos;-2;
anti;-1;
anticipación;1;
anticipaciónes;1;
apacigua;2;
apaciguaba;2;
apaciguada;2;
apaciguadas;2;
apaciguado;2;
apaciguados;2;
apaciguamienta;2;
apaciguamientas;2;
apaciguamiento;2;
apaciguamientos;2;
apaciguamos;2;
apaciguan;2;
apaciguando;2;
apaciguar;2;
apaciguares;2;
apaciguas;2;
apacigué;2;
apaciguo;2;
apaciguó;2;
apareja;-1;
aparejaba;-1;
aparejada;-1;
aparejadas;-1;
aparejado;-1;
aparejados;-1;
aparejamos;-1;
aparejan;-1;
aparejando;-1;
aparejar;-1;
aparejas;-1;
aparejé;-1;
aparejo;-1;
aparejó;-1;
aparejos;-1;
apasiona;2;
apasionaba;2;
apasionada;2;
apasionadas;2;
apasionado;2;
apasionados;2;
apasionamos;2;
apasionan;2;
apasionando;2;
apasionar;2;
apasionas;2;
apasioné;2;
apasiono;2;
apasionó;2;
apatía;-3;
apatías;-3;
apática;-3;
apáticas;-3;
apático;-3;
apáticos;-3;
apatío;-3;
apatíos;-3;
apena;-2;
apenaba;-2;
apenada;-2;
apenadas;-2;
apenado;-2;
apenados;-2;
apenamos;-2;
apenan;-2;
apenando;-2;
apenar;-2;
apenas;-2;
apené;-2;
apeno;-2;
apenó;-2;
apeshit;-3;
apeshites;-3;
aplaca;2;
aplacas;2;
aplaco;2;
aplacos;2;
aplasta;-1;
aplastaba;-1;
aplastada;-2;
aplastadas;-2;
aplastado;-2;
aplastados;-2;
aplastamos;-1;
aplastan;-1;
aplastando;-1;
aplastante;-1;
aplastantes;-1;
aplastar;-1;
aplastares;-1;
aplastas;-1;
aplasté;-1;
aplasto;-1;
aplastó;-1;
aplastos;-1;
aplaude;2;
aplaudemos;2;
aplauden;2;
aplauder;2;
aplaudes;2;
aplaudí;2;
aplaudía;2;
aplaudida;2;
aplaudidas;2;
aplaudido;2;
aplaudidos;2;
aplaudienda;2;
aplaudiendas;2;
aplaudiendo;2;
aplaudiendos;2;
aplaudió;2;
aplaudir;2;
aplaudires;2;
aplaudo;2;
aplausos;2;
aplausoses;2;
aplaza;-1;
aplazaba;-1;
aplazada;-1;
aplazadas;-1;
aplazado;-1;
aplazados;-1;
aplazamos;-1;
aplazan;-1;
aplazando;-1;
aplazar;-1;
aplazares;-1;
aplazas;-1;
aplazé;-1;
aplazo;-1;
aplazó;-1;
apocalíptica;-2;
apocalípticas;-2;
apocalíptico;-2;
apocalípticos;-2;
apoya;2;
apoyas;2;
apoyo;2;
apoyos;2;
aprecia;2;
apreciaba;2;
apreciación;2;
apreciaciónes;2;
apreciada;2;
apreciadas;2;
apreciado;2;
apreciados;2;
apreciamos;2;
aprecian;2;
aprecianda;2;
apreciandas;2;
apreciando;2;
apreciandos;2;
apreciar;2;
apreciares;2;
aprecias;2;
aprecié;2;
aprecio;2;
apreció;2;
aprecios;2;
aprensiva;-2;
aprensivas;-2;
aprensivo;-2;
aprensivos;-2;
aproba;2;
aprobaba;2;
aprobación;2;
aprobaciónes;2;
aprobada;2;
aprobadas;2;
aprobado;2;
aprobados;2;
aprobamos;2;
aproban;2;
aprobando;2;
aprobar;2;
aprobas;2;
aprobé;2;
aprobo;2;
aprobó;2;
aprueba;2;
apruebas;2;
apruebo;2;
apruebos;2;
aptitud;1;
aptitudes;1;
ardiente;1;
ardientes;1;
arrastra;-1;
arrastraba;-1;
arrastrada;-1;
arrastradas;-1;
arrastrado;-1;
arrastrados;-1;
arrastramos;-1;
arrastran;-1;
arrastrando;-1;
arrastrar;-1;
arrastrares;-1;
arrastras;-1;
arrastré;-1;
arrastro;-1;
arrastró;-1;
arrastros;-1;
arregla;-1;
arreglaba;-1;
arreglada;-1;
arregladas;-1;
arreglado;-1;
arreglados;-1;
arreglamos;-1;
arreglan;-1;
arreglando;-1;
arreglar;-1;
arreglas;-1;
arreglé;-1;
arreglo;-1;
arregló;-1;
arrepente;-2;
arrepentemos;-2;
arrepenten;-2;
arrepenter;-2;
arrepentes;-2;
arrepentí;-2;
arrepentía;-2;
arrepentida;-2;
arrepentidas;-2;
arrepentido;-2;
arrepentidos;-2;
arrepentiendo;-2;
arrepentimientos;-2;
arrepentimientoses;-2;
arrepentió;-2;
arrepentir;-2;
arrepento;-2;
arresta;-2;
arrestaba;-2;
arrestada;-2;
arrestadas;-2;
arrestado;-2;
arrestados;-2;
arrestamos;-2;
arrestan;-2;
arrestando;-2;
arrestar;-2;
arrestares;-2;
arrestas;-2;
arresté;-2;
arresto;-2;
arrestó;-2;
arrincona;-2;
arrinconaba;-2;
arrinconada;-2;
arrinconadas;-2;
arrinconado;-2;
arrinconados;-2;
arrinconamos;-2;
arrinconan;-2;
arrinconando;-2;
arrinconar;-2;
arrinconas;-2;
arrinconé;-2;
arrincono;-2;
arrinconó;-2;
arrogante;-2;
arrogantes;-2;
arruina;-3;
arruinaba;-3;
arruinada;-3;
arruinadas;-3;
arruinado;-3;
arruinados;-3;
arruinamos;-3;
arruinan;-3;
arruinanda;-2;
arruinandas;-2;
arruinando;-2;
arruinandos;-2;
arruinar;-3;
arruinas;-3;
arruiné;-3;
arruino;-3;
arruinó;-3;
asca;-3;
ascas;-3;
asco;-3;
ascos;-3;
asegura;2;
aseguraba;2;
asegurada;2;
aseguradas;2;
asegurado;2;
asegurados;2;
aseguramos;2;
aseguran;2;
aseguranda;1;
asegurandas;1;
asegurando;1;
asegurandos;1;
asegurar;1;
asegurares;1;
aseguras;2;
aseguré;2;
aseguro;2;
aseguró;2;
aseguros;2;
asesina;-2;
asesinas;-2;
asesinata;-3;
asesinatas;-3;
asesinato;-3;
asesinatos;-3;
asesinatoses;-3;
asesino;-2;
asesinos;-2;
asfixia;-2;
asfixias;-2;
asfixio;-2;
asfixios;-2;
asombra;3;
asombraba;2;
asombrada;2;
asombradas;2;
asombrado;2;
asombrados;2;
asombramos;2;
asombran;2;
asombrando;2;
asombrar;3;
asombrares;3;
asombras;3;
asombré;2;
asombro;2;
asombró;2;
asombros;3;
asombrosa;4;
asombrosas;4;
asombroso;4;
asombrosos;4;
asquerosa;-3;
asquerosas;-3;
asqueroso;-3;
asquerosos;-3;
assfucking;-4;
assfuckinges;-4;
astucia;-2;
astucias;-2;
astucio;-2;
astucios;-2;
astuta;-2;
astutas;-2;
astuto;-2;
astutos;-2;
asuntos;1;
asuntoses;1;
asusta;-2;
asustaba;-2;
asustada;-2;
asustadas;-2;
asustadiza;-1;
asustadizas;-1;
asustadizo;-1;
asustadizos;-1;
asustado;-2;
asustados;-2;
asustamos;-2;
asustan;-2;
asustando;-2;
asustar;-2;
asustas;-2;
asusté;-2;
asusto;-2;
asustó;-2;
ataca;-1;
atacaba;-1;
atacada;-1;
atacadas;-1;
atacado;-1;
atacados;-1;
atacamos;-1;
atacan;-1;
atacando;-1;
atacar;-1;
atacas;-1;
atacé;-1;
ataco;-1;
atacó;-1;
ataque;-1;
ataques;-1;
ataqueses;-1;
atasca;-2;
atascaba;-2;
atascada;-2;
atascadas;-2;
atascado;-2;
atascados;-2;
atascamos;-2;
atascan;-2;
atascando;-2;
atascar;-2;
atascas;-2;
atascé;-2;
atasco;-2;
atascó;-2;
aterra;-2;
aterraba;-2;
aterrada;-2;
aterradas;-2;
aterrado;-2;
aterrador;-3;
aterradores;-3;
aterrados;-2;
aterramos;-2;
aterran;-2;
aterrando;-2;
aterrar;-2;
aterras;-2;
aterré;-2;
aterro;-2;
aterró;-2;
aterroriza;-3;
aterrorizaba;-3;
aterrorizada;-3;
aterrorizadas;-3;
aterrorizado;-3;
aterrorizados;-3;
aterrorizamos;-3;
aterrorizan;-3;
aterrorizando;-3;
aterrorizar;-3;
aterrorizares;-3;
aterrorizas;-3;
aterrorizé;-3;
aterrorizo;-3;
aterrorizó;-3;
aterrorizos;-3;
atornilla;-2;
atornillaba;-2;
atornillada;-2;
atornilladas;-2;
atornillado;-2;
atornillados;-2;
atornillamos;-2;
atornillan;-2;
atornillando;-2;
atornillar;-2;
atornillas;-2;
atornillé;-2;
atornillo;-2;
atornilló;-2;
atracción;2;
atracciones;2;
atracciónes;2;
atraccioneses;2;
atractiva;3;
atractivas;3;
atractivo;3;
atractivos;3;
atrae;1;
atraemos;1;
atraen;1;
atraer;1;
atraeres;1;
atraes;1;
atraí;1;
atraía;1;
atraida;1;
atraída;1;
atraidas;1;
atraídas;1;
atraido;1;
atraído;1;
atraidos;1;
atraídos;1;
atraiendo;1;
atraió;1;
atrair;1;
atrao;1;
atrapa;-2;
atrapaba;-2;
atrapada;-2;
atrapadas;-2;
atrapado;-2;
atrapados;-2;
atrapamos;-2;
atrapan;-2;
atrapando;-2;
atrapar;-2;
atrapas;-2;
atrapé;-2;
atrapo;-2;
atrapó;-2;
atrayenda;2;
atrayendas;2;
atrayendo;2;
atrayendos;2;
atreve;2;
atrevemos;2;
atreven;2;
atrever;2;
atreves;2;
atreví;2;
atrevía;2;
atrevida;2;
atrevidas;2;
atrevido;2;
atrevidos;2;
atreviendo;2;
atrevió;2;
atrevir;2;
atrevo;2;
atropella;-3;
atropellas;-3;
atropello;-3;
atropellos;-3;
aturde;-2;
aturdemos;-2;
aturden;-2;
aturder;-2;
aturdes;-2;
aturdí;-2;
aturdía;-2;
aturdida;-2;
aturdidas;-2;
aturdido;-2;
aturdidos;-2;
aturdiendo;-2;
aturdió;-2;
aturdir;-2;
aturdo;-2;
audaz;3;
audazes;3;
aumenta;1;
aumentaba;1;
aumentada;1;
aumentadas;1;
aumentado;1;
aumentados;1;
aumentamos;1;
aumentan;1;
aumentando;1;
aumentar;1;
aumentares;1;
aumentas;1;
aumenté;1;
aumento;1;
aumentó;1;
aumentos;1;
ausencia;-2;
ausencias;-2;
ausencio;-2;
ausencios;-2;
ausente;-1;
ausentes;-1;
ausenteses;-1;
autoengañada;-2;
autoengañadas;-2;
autoengañado;-2;
autoengañados;-2;
autor;-2;
autores;-2;
autoreses;-2;
autoridad;1;
autoridades;1;
avanza;1;
avanzaba;1;
avanzada;1;
avanzadas;1;
avanzado;1;
avanzados;1;
avanzamos;1;
avanzan;1;
avanzando;1;
avanzar;1;
avanzas;1;
avanzé;1;
avanzo;1;
avanzó;1;
áve;2;
ávemos;2;
áven;2;
aventuras;2;
aventurases;2;
aventurera;2;
aventureras;2;
aventurero;2;
aventureros;2;
áver;2;
avergonza;-2;
avergonzaba;-2;
avergonzada;-2;
avergonzadas;-2;
avergonzado;-2;
avergonzados;-2;
avergonzamos;-2;
avergonzan;-2;
avergonzando;-2;
avergonzar;-2;
avergonzares;-2;
avergonzas;-2;
avergonzé;-2;
avergonzo;-2;
avergonzó;-2;
aversión;-3;
aversiónes;-3;
áves;2;
áví;2;
ávía;2;
ávida;2;
ávidas;2;
ávido;2;
ávidos;2;
áviendo;2;
ávió;2;
ávir;2;
ávo;2;
axed;-1;
axedes;-1;
Ay;-1;
ayes;-1;
ayuda;2;
ayudas;2;
ayudo;2;
ayudos;2;
Bamboozles;-2;
bamboozleses;-2;
bancadas;-2;
bancadases;-2;
bankste;-3;
bankstemos;-3;
banksten;-3;
bankster;-3;
banksteres;-3;
bankstes;-3;
bankstí;-3;
bankstía;-3;
bankstida;-3;
bankstidas;-3;
bankstido;-3;
bankstidos;-3;
bankstiendo;-3;
bankstió;-3;
bankstir;-3;
banksto;-3;
barra oblicua;-2;
barras;-2;
barrases;-2;
barrera;-2;
barreras;-2;
barrero;-2;
barreros;-2;
bastarda;-5;
bastardas;-5;
Bastardo;-5;
bastardos;-5;
bastardoses;-5;
batalla;-1;
batallas;-1;
batallases;-1;
batallo;-1;
batallos;-1;
beatífica;3;
beatíficas;3;
beatífico;3;
beatíficos;3;
bellezas;3;
bellezases;3;
bendece;2;
bendecemos;2;
bendecen;2;
bendecer;2;
bendeces;2;
bendecí;2;
bendecía;2;
bendecida;2;
bendecidas;2;
bendecido;2;
bendecidos;2;
bendeciendo;2;
bendeció;2;
bendecir;2;
bendecires;2;
bendeco;2;
bendice;2;
bendices;2;
bendición;3;
bendiciónes;3;
beneficia;2;
beneficiaba;2;
beneficiada;2;
beneficiadas;2;
beneficiado;2;
beneficiados;2;
beneficiamos;2;
benefician;2;
beneficianda;2;
beneficiandas;2;
beneficiando;2;
beneficiandos;2;
beneficiar;2;
beneficias;2;
beneficié;2;
beneficio;2;
benefició;2;
beneficios;2;
beneficioses;2;
bereaves;-2;
bereaveses;-2;
bereaving;-2;
bereavinges;-2;
besa;2;
besas;2;
Beso;2;
besos;2;
bienes;2;
bieneses;2;
bienvene;2;
bienvenemos;2;
bienvenen;2;
bienvener;2;
bienvenes;2;
bienvení;2;
bienvenía;2;
bienvenida;2;
bienvenidas;2;
Bienvenido;2;
bienvenidos;2;
bienveniendo;2;
bienvenió;2;
