titulo,estilo,artista,id,estrofa
Entre hormigones,rock,Marea,id_67,"Aquí estaré, esperando a que pises
Todas las mañanas grises y las tardes tuertas
Aquí, de pie, quejío de la acera
El martillo para espejos de no ver
Querrás saber de tantos manantiales
Que en mi boca desembocan como lava hambrienta
Te contaré que nunca fui un poeta
Para las arrugas viejas soy José"
Amar sin ser amada,pop,Thala,id_70,"Amar sin ser amada es una puñalada
No vuelvo a equivocarme más, nunca más
Amar sin ser amada, quedar abondonada
No pienso someterme más a otro amor
Que no pueda devolver todo lo que yo le doy
Todo lo que le confié, nunca más volveré
Amar sin ser amada, dejó mi alma quebrada
Pero al fin pude aprender"
1990 Mil Nueve Noventa,pop,Soda Stereo,id_77,"No habrá remedio infalible
Te confiaré
Las almas son tan corruptibles
Que no querrás saber
De mi, solo lo que ves
Conseguirás de mi"
El fallo positivo,pop,Mecano,id_79,"El fallo positivo anuncio
Que el virus que navega en el amor
Avanza soltando velas
Aplastando las defensas por tus venas
Me prohibiste toda pasión
Sin dar ninguna clase de razón
Porque sabías que yo no haría
Caso alguno de la precaución"
Traigo,country,Natanael Cano,id_83,"Humito que es para relajar
La chompa bien duro le sabe alocar
No se confundan, no es lo mismo que el cristal
Un rifle en la espalda pa' tirar
Dos, tres cartuchos que se usan pa' aliñar
A los contrarios que me quieran chamaquear"
Me Gusta tu Mujer,rap,Cecilio G.,id_85,"Y no porque la lleves tú de la mano
Que sientas cariño sin mimos, te gano
Si quieres ahora mismo la cojo y la llamo
Y en 20 minutos la tengo fumando
Si se va del piso me deja 3 gramos
Comido, cenado y ni he cocinado
Le gusta bonito, no le gusta asado
Le gusta sudado, le gusta mi rabo"
Eres Tú,pop,Nicky Jam,id_87,"A cada rato yo te estoy llamando
No me contestas, se que estas picheando
No se en que diablos es lo que esta pensando
A ti mujer te quiero hablar
Toda la noche me acuesto so'ando
Que estamos en la cama y sudando
Ay, yo no se lo q me esta pasando
Me estoy volviendo loco, yal"
Mujeriego,pop,Jos Jos,id_89,"Las que ríen, las que lloran
Las que sueñan
Las que aprenden, las que enseñan
Las que viven con los pies sobre la tierra
Las tranquilas, las de guerra"
MUSICA ˂3,country,Junior H,id_91,"Te agradezco por tocarme
Y abrazarme como a nadie
Y a mis padres Dios los guarde
No se rajen, aquí estoy
Te agradezco por tocarme
Y abrazarme como a nadie
Ya mi pluma da la espuma
Hasta que muera sеré leyenda"
ADO,pop,Danny Ocean,id_92,"Necesito una publicación tuya a diario, oh
No te conozco, pero te amo, baby
¿Y si nos vemo' en persona y la cosa no da resultado?
Tú no sabe' cuanta' vece' yo te he imaginado, baby
No te conozco, pero te amo
Necesito una publicación tuya a diario"
El Profe,pop,Miranda!,id_93,"Yo quiero ser tu negro del camión, yo quiero ser un cerdo picarón
Yo quiero hacerte las cosas mas sucias de modo elegante
Yo quiero que te toques para mi, quiero tocarme y acabar en ti
Ay, si supieras como me emociona el solo pensarlo
Quisiera que me mientas cuando pregunte tu edad
Quiero volverme tan vulgar
Voy a engañarte, tonta, sólo para tocarte un poco"
Acción Y Reacción,rap,Porta,id_94,"Que ya no saben qué decir, ya no saben lo que hacer
Que tienen que mentir pa' parecer, pa' aparentar
Más, venirme a tentar pa' pararme, tontolaba
Echa la grava, pam-pam paraba-raba
Que ya no saben qué decir, ya no saben lo que hacer
Que tienen que mentir pa' parecer, pa' aparentar
Más, venirme a tentar pa' pararme, tontolaba
Echa la grava, pam-pam paraba-raba"
​quién vendrá a por mí outro,pop,Beln Aguilera,id_97,"Quién vendrá a por mí cuando este foco se apague
Quién vendrá a por mí
Quién queda en Madrid que consiga encontrarse
Quién queda en Madrid
Quién será feliz con solo un juego de llaves
Quién será feliz
Quién vendrá a por mí cuando no queden letras que escribir"
Espantapájaros,pop,Ricardo Arjona,id_98,"De casimir ingles con la corbata al revés
Casimir que hace un siglo me heredo un difunto juez
Y mi corbata es banquete de ratas
Mi sombrero es marrón y mi cabeza es un balón
Hace 32 años una chica que paso hizo con su mirada que en mi pecho
Palpitara un corazón"
Girlfriend,rap,Rels B,id_101,"Ella no es la chica del montón
Tiene a todo el barrio loco, chico, es my girlfriend
Pero mira cómo mueve el bombón
Se me van los ojos de la cara si baila my girlfriend
Ella no es la chica del montón
Tiene a todo el barrio loco, chico es my"
Tu Quieres Volver,pop,Gipsy Kings,id_102,"Tú quieres volver y no te veo más
Tú quieres volver y no me encuentro mal
Tú quieres volver y no te veo más
Tú quieres volver y no me encuentro mal
Tú quieres volver y no te veo más
Tú quieres volver y no me encuentro mal
Tú quieres volver y no te veo más
Tú quieres volver y no me encuentro mal"
Cuando Estés Aquí,pop,Pablo Alborn,id_107,"Ahora que el olvido está de moda
El presente nos obliga a recordar
Intento borrarme los errores
Como la lista de calmantes que comprar
Ahora que detrás de cada mueca
Escondemos el temor de poder soñar
Amores desnudos de correas
Se asoman por la verja de nuestra libertad"
Igual Que Ayer,pop,Daddy Yankee,id_112,"No se puede ganar cuando tenemos mucho mas qué perder
Hay peligro cuando uno revive el pasado
Daddy
You know I love u girl!
DY"
La Cartera,pop,Carlos Vives,id_115,"Que más quisiera, mi dulce bien
Que ser de tu vida la sustancia
Y ser la fina fragancia para tu piel
Si ya se han ido perdiendo mis esperanzas
Y hoy me pides que te compre un reloj Cartier"
Pueblo Querido,pop,Los Tigres Del Norte,id_118,"Yo ansío con todo mí ser
Regresar a mi pueblo querido
Y mi Dios me lo ha de conceder
Pa' morirme allá con los míos
Es muy triste encontrarse lejos
De la tierra donde uno ha nacido
Y más triste si no están presentes
Los amigos y los seres queridos"
Regresa Hermosa,misc,Gerardo Ortiz,id_123,"Y porque me muero
Si no estás conmigo pierdo los sentidos
Y porque no quiero hacerme amigo del olvido
Porque tu adiós es lo peor que he vivido
Y regresa pronto mi niña, preciosa
Y llorando te lo pido"
Momentos,pop,Julio Iglesias,id_136,"Ya ves que todo pasa
Quién diría
Ya ves que poco queda por contar
Apenas los recuerdos
Momentos que no vuelven nunca más"
Señora De Las Cuatro Décadas,pop,Ricardo Arjona,id_140,"Porque nótelo usted, al hacer el amor
Siente las mismas cosquillas
Que sintió hace mucho mas de veinte
Nótelo así de repente
Es usted amalgama perfecta
Entre experiencia y juventud"
Madre sólo hay una,pop,Jos Jos,id_143,"Mamá abráseme
Y deme un buen consejo
Mamá usted que es mujer
Dígame si la dejo
Cuando se cansa el corazón
De tanto darse
Ya no hay sentido ni razón
Para quedarse"
Corridos Tumbados,country,Natanael Cano,id_145,"Hoy me miran elegante con mí Rolex en la mano
¿Que no soy el mismo de antes? para eso le batallamos
Siempre tengo claro el mapa, la envidia no nos opaca
Todo lo que tiro es brillo y un suspiro y a volar
No me da miedo y represento el movimiento"
Primera Vez,pop,Ricardo Arjona,id_148,"Tambien es mi primera vez
Pondre el concierto de Aranjuez
Para relajarnos juntos
Tambien en mi primera vez
Siente como tiemblo ya ves
Tuve sexo mil veces pero nunca hice el amor"
Me Prefieres,pop,Kevin Roldn,id_157,"Mami sé buena
Que puede que las ganas se te acumulen
Victoria Secret, brasier y g-string azules
Prendemos uno y que el humo se encapsule
Tú estas loquita porque KR te enchule"
Mirada perdida,pop,Leiva,id_158,"Lo siento pero no, no puedes hacerlo
No pierdas el tiempo
Ya va a venir la hora de los leones
No hay porqué seguir
Con los ojos en llamas y la mirada perdida
Llueven besos de esos que van y te quitan la vida
Con los ojos en llamas y la mirada perdida
Llueven besos de esos que van y te quitan la vida"
Volar,pop,Alvaro Soler,id_164,"Volar con el viento
Y sentir que se para el tiempo
Pintar el momento
Y las nubes ir persiguiendo
Saber cantar, pasarlo bien
Ir por las calles y querer
Volar con el viento
Y sentir que se para el tiempo"
Había una vez...,rock,Indio Solari y los Fundamentalistas del Aire Acondicionado,id_165,"Con el rostro gustoso
Sin máscara que tape
El mohín de tu desdén
Con los puños en alto
Deseando, al final, hacer la revolución
Con una canción de amor"
Si Tu Marido No Te Quiere Colombian Remix,pop,Ozuna,id_169,"Como dice J Balvin, Tra-tra-tranquila
Que hay mucha botellas de whisky y tequila
Patrón, también hay champagne Dom Perignon
Dígame que necesita para olvidarse de él
Tú sabes que necesitas, la vamo' a pasar bien
Dígame que necesita para olvidarse de él
Tú sabes que necesitas, la vamo' a pasar bien
(Pipe Calderón)"
La Culpa de Mí,rap,SFDK,id_170,"La culpa de mí, la culpa de mí
Quién tiene la culpa de mí
La culpa de mí, la culpa de mí
Quién tiene la culpa de mí
La culpa de mí, la culpa de mí
Quién tiene la culpa de mí
La culpa de mí, la culpa de mí
Quién tiene la culpa de mí"
Putos,pop,Kaydy Cain,id_171,"Fumao con los ojos chinos
El pañuelo palestino
Los conjuntos como Moschino
La puta me ven divino
Me tatuo sin sentido
Dios nunca contó conmigo
Todo Versace fuck Migos
Tu hablando mientras yo vivo"
Mil Lágrimas,rap,Nicky Jam,id_175,"También recuerdo yo
Con todo el daño que te hice
Comoquiera me recibiste y me aceptabas en tu cama, ah-ah
Y me pregunto yo, te fuiste y no te despediste
Pagué todo lo que te hice y ahora el que llora soy yo
Ay, que soledad"
Addicted,pop,Maluma,id_176,"Hoy te pusiste más linda por lo que veo
Algo casual, pero sexy, así te deseo
Y esa fragancia que tú tienes, yo ni lo creo (Yeah)
Quisiera fueras mi Julieta y yo tu Romeo
Para probar esos labios de miel (Yeh-eh, eh-eh; Baby)
Y recorrer lentamente tu piel (Wuh)"
San Valentín,country,Eslabon Armado,id_177,"El día de San Valentín cuando te pedí
Que fueras solamente para mí
Tantas horas y las rosas que te di
Fuiste mi primer amor que nunca olvidaré
Pero la neta que sí me rompistes
Te pedí ser mi novia y me negaste"
A Los 19,country,Junior H,id_180,"A los 19, mi vida relaté
De abajo pa' arriba, como una ruleta andé
A la edad de seis en una patrulla andé
Por unos errores por mi hermana la rifé
No me ha pasado nada que compare a mis papás
A ellos les agradezco y por ellos la voy a rifar"
No Lo Beses,pop,Alejandro Fernndez,id_184,"Pero no lo beses como ami
No lo toques nunca asi
Pues yo nunca besos como a ti te beso
Cuando me tropiezo por ahi
Pero no lo mires como a mi
No lo acaricies nunca asi
Por tu bien lo digo por que si lo haces
...te vas a acordar de mi"
Toco Toco,pop,Arcngel,id_186,"Yo estoy en todos lados
Como la habichuela y el arroz
Tengo mi propia cuadra yes, I'm a boss
Hoy tienes una cita con el lobo feroz
Yo te juro que esta noche voy hacer que te descos"
Zumbando,country,Junior H,id_187,"Aveces ando trabajando
Aveces vida disfrutando
Pues un dia un viejo me dijo
Que vida solo hay una
Pero una bastara
Si la sabes usar"
Sigo Algare,rap,Daddy Yankee,id_190,"Yo!
Todas estas voce que siguen jugando con mi mente
No me dejan dormir tranquilo, estar tranquilo
Ya no sé si es la misma voz de Dios
O la voz del Diablo jugando conmigo, burlandose
'Toy bien aborreci'o
¿Qué pasó, pa'?
What!? What!?"
Soy Malo Pa Ti,country,Eslabon Armado,id_201,"Vente, que quiero yo besarte
Quiero poder amarte
Juntar nuestros cuerpos y hacer locuras, no habrá nadie
Quiero vibrar contigo nada más
Soy malo para ti pero sé que funcionará"
Los Duros,rap,Alemn,id_202,"Para que sepa la gente que traigo
Siempre conmigo, solo nunca he andado
Hago lo que quiero y me vale verga si les ofende mi pasado
Todos los R’s los traigo guardados
Todas las niñas las traigo a mi lado
El barrio conoce lo mucho que he trabajado y que me he esforzado"
Sálvame,pop,RBD,id_211,"Sálvame del olvido
Sálvame de la soledad
Sálvame del hastío
Estoy hecha a tu voluntad
Sálvame del olvido
Sálvame de la oscuridad
Sálvame del hastío
No me dejes caer jamás"
Hot Gyal,pop,Neutro Shorty,id_213,"Se pone hot-hot gyal, hot gyal
Cuando esta conmigo y empezamos a fumar
The pretty hot-hot gyal, hot gyal
Mueve sus caderas bailando dance hall
Es una hot-hot gyal, hot gyal
Ella es mi mayor fantasía carnal
Mi niña hot-hot gyal, hot gyal
Cara de angelita y mente de criminal"
Curiosa la cara de tu padre,pop,Melendi,id_214,"Mira tu hija
No le falta de nada
Llevo cincuenta gramos de marihuana
Y protegida
Nadie le toca un pelo
Yo soy mas duro que un puto mosquetero"
El Hormiguero,rap,Calle 13,id_215,"¿Tú quieres guerra?
¿Tú quieres guerra?
¿Tú quieres guerra?
¿Tú quieres guerra?
¿Tú quieres guerra?
¿Tú quieres guerra?
¿Tú quieres guerra?"
Palabra De Honor,pop,Luis Miguel,id_218,"Te voy a olvidar (Te amo, te amo, te amo)
Palabra de honor (Te amo, te amo, te amo)
Paloma perdida (Te amo, te amo, te amo)
Ya no puedo más
Te tengo que olvidar (Te amo, te amo, te amo)
Y te tengo que olvidar (Te amo, te amo, te amo)"
Mil quilates,rock,Marea,id_227,"Son camaleones vestidos de oveja
Los ojos traidores que enredan madejas
Robando colores de los corazones de los que se dejan
Pero del nuestro no
Que late tranquilo sabiendo que salen
Detrás de sus hojas cientos de alacranes
Que cuidan de que esté siempre en flor"
Recuerdos que duelen,pop,Los Tigres Del Norte,id_228,"Recuerdos de amor que duelen
Recuerdos de aquel cariño
No sé ni por cuanto tiempo
Se van a quedar conmigo
Donde se encuentre que le vaya bien
Desearle penas no tiene sentido
Que ganaría con desearle un mal
Al gran amor que ayer vivió conmigo"
Envidia,pop,Joan Sebastian,id_233,"Le tengo envidia al la noche
Noche que vela tu suen~o
Le tengo y quisiera ser
De la noche y de ti duen~o
Le tengo a la lluvia
Que te acaricia y te moja
Le tengo al viento que
Te besa si se le antoja"
Dalinda Remix,pop,Soto Asa,id_234,"Dalinda
Mi alma te llama
Ven en mi cama
Quiero amarte
Dulce niña
Dame tus besos
Mírame a los ojos
Júrame tu amor"
¿Ahora Qué Sigue?,rap,Santa RM,id_236,"Quiero estar solo un momento, déjame en paz
Sólo yo conmigo mismo, sólo yo y nadie más
Quiero pensar en mis errores, saber en qué he fallado
Hacer las paces con el karma, ya lo pasado ha pasado
Yo sólo quiero ahogarme dentro del sonido
Pensar que ha valido la pena todo el esfuerzo vivido
Que cada lágrima que derramé valió la pena
Que volverá la inspiración, que sin ella me da gangrena"
No Te Apartes de Mi,pop,Vicentico,id_240,"Todo amor que yo esperé de la vida
Lo he encontrado solo en ti
Y resulta que tú no estás aquí
Esos aires de quien no sabe nada
Me han sabido hacer feliz
No te apartes de mí
Oh no
Oh no"
Vas A Recordarme,pop,Gloria Trevi,id_250,"No tengas lástima de despedirte
Si es que te lastima soportar
No hagas el intento de quedarte
De todos modos sé que ya no estás
Y déjame llorar sólo un poquito
No lo hago para que te sientas mal
Es sólo que me importas infinito
Pero desde hoy te empiezo a olvidar"
Frío,rap,Coqein Montana,id_255,"Me siento frío, hay un vacío
Ya estoy jodido bebé
Amanecido, anestesiado
Te estoy buscando bebé
No siento frío, me sigue el lío
Ya estoy jodido bebé
Soy distraído, maleducado
Pero te extraño bebé"
Giuseppe Remix,rap,Luar La L,id_257,"Giuseppe, Giuseppe (Designer)
Si paseo el mall, me paro en Giuseppe, Giuseppe (De una)
Aunque me vista sport, Giuseppe, Giuseppe (Je, ah)
La fanny, pedales, Giuseppe, Giuseppe, ¿qué? Sí (Jaja)
Si hay pieza en cintura, la agarra, Giuseppe
Mi' diablo' 'e la ganga, Giuseppe, Giuseppe
Con puta que ande, siempre anda Giuseppe, Giuseppe"
Lo Mejor del Barrio,rap,Kaydy Cain,id_261,"El que se la lleva, se va a llevar un tesoro
Me siento un pirata como johnny y yo la robo
Yo no tengo mucho pero por ti lo doy todo
Mis otras putas, no llegaban ni a chuparse el codo
El que se la lleva, se va a llevar un tesoro
Me siento un pirata como johnny y yo la robo
Yo no tengo mucho pero por ti lo doy todo
Mis otras putas, no llegaban ni a chuparse el codo"
Cabrón,rap,Alemn,id_264,"Mataron a un cabrón enfrente de la casa, se las tiró de Rambo y eso es lo que le pasa
Le dieron en el pecho, abrieron carne y grasa, salieron por la espalda, la Mágnum te traspasa
El man no le puso cuidado a lo que hacía y con quién, ahora la madre está llorando y la hermanita también
Papel dorado y arropado pa' la morgue, my friend, y si esta mierda le da miedo mejor vaya, haga el bien
Le cayeron par de diablos en motocicleta porque no pagó, lo gastó, no respeta
Intentó agacharse y sacar la dura, pero se cayó con ella en la cintura
Luces de ambulancias alumbrando el barrio, culpa de sustancia y de los sicarios
Casquillos saltando en todo el vecindario, impacto directo y muere el adversario"
Mango Piña,pop,Nicky Jam,id_265,"Vamo'a darle mango piña pa' to esas niñas
Vamo'a darle alboroto pa' to esos locos
Vamo'a darle un poco de bajo, pues hasta abajo
Vamo'a darle un poco de esto si quieren sexo
Vamo'a darle mango piña pa' to esas niñas
Vamo'a darle alboroto pa' to esos locos
Vamo'a darle un poco de bajo, pues hasta abajo
Vamo'a darle un poco de esto si quieren sexo"
Igual Para Todos,pop,La Polla Records,id_269,"Dime, ¿quién decide aquí cómo hay que bailar?
Que algunos siempre van palante
Y todos los demás, todos los demás
Todos los demás, siempre para atrás
Dicen que dice la ley que somos iguales
Pero el rico nunca entra y el pobre nunca sale"
Cerebros Destruidos,pop,Eskorbuto,id_273,"El terror causando hábito, miedo a morir
Ya estás muerto, ya estais muertos
Ya estás muerto, ya estás muerto
Ya estais muertos, muertos, muertos, muertos
Ya estais muertos, muertos, muertos, muertos
Ya estás muerto"
Fe ciega,rap,Foyone,id_274,"Veo una botella y me la llevo
Consigue un par de copas que te invito, tráete hielo
En el bolsillo algo pa' que subamos al cielo
Échalo en la copa voy a decirte lo que quiero
Bebí to'..
To' ciego (Repetidas veces)"
Peligrosa,pop,Maluma,id_278,"Quiero que salgan toa' las peligrosas
Que quieran espinas en lugar de rosas
Y tené claro cómo son las cosa'
Yo no me enamoro ni aunque sea una diosa (Jaja)
Un amor no se olvida encerra'o y llorando
Si te vas de mi vida yo te olvido perreando"
El Cine,pop,Mecano,id_281,"Durante una hora y media
Pude ser feliz
Comiendo chocolate
Y palomitas de maíz
Sintiendo que era yo
El que besaba a aquella actriz"
Ve con él,rock,El Cuarteto de Nos,id_290,"Tá, si él es tan crack
Si es tan guapo y tan galán
Y yo un desafinado
En un cuarteto de traumados
Ya calla, por favor
Porque me tenés paspado"
Alcohol y Humo,pop,Mau y Ricky,id_291,"Estoy muriéndome por ti otra vez
Otra vez, otra vez
Contra, contra la pared, la pared
Estoy muriéndome por ti otra vez
Otra vez, otra vez
¿Pa' mi casa o al revés?, oh-oh (Sí, sí)"
Eso nomás,pop,Jos Jos,id_293,"No les cuentes mis defectos
Di que fui casi perfecto
Aunque sepas que es mentira
Que si no nos entendimos
Así lo quiso el destino
Que son cosas de la vida"
Hilo Rojo,pop,Ro Roma,id_297,"Había guardado mi alma en un cajón junto a mi corazón
Y un día de pronto tu amor me cambió
Y me cambió para bien (Me cambió para bien)
Bendito aquél día en que
Pintaste de rojo mi corazón roto y te pude reconocer"
Canto Del Bracero,pop,Pedro Infante,id_298,"Cuando yo me fui pa'l Norte
Me colé por California
Yo no tenía cartilla
Ni pasaporte, ni amigos
Ni palancas en migración
Pero me colé con resolución"
Cuando Digo Tu Nombre Mejor,pop,Alejandro Fernndez,id_307,"Mejor, me ausentare por un tiempo
Hasta que sienta que el viento
Dejo de hablarme de ti
Mejor no recordare tu cara
Porque el dolor nunca para
Cuando me acuerdo de ti"
El hijo del pueblo,pop,Vicente Fernndez,id_310,"Es mi orgullo haber nacido en el barrio más humilde
Alejado del bullicio y de la falsa sociedad
Yo no tengo la desgracia de no ser hijo del pueblo
Yo me cuento entre la gente que no tiene falsedad
Mi destino es muy parejo, yo lo quiero como venga
Soportando una tristeza o detrás de una ilusión
Yo camino por la vida muy feliz con mi pobreza
Porque no tengo dinero, tengo mucho corazón"
CAMALEÓN,pop,Beln Aguilera,id_312,"Soy un camaleón
Cambio como las luces de neón
Camuflo lo que siento con el ron
Soy suave y afilada, ese es mi don
Vas a perder la razón
Soy un camaleón
Soy un camaleón"
En Lo Oscuro,pop,Sech,id_313,"En lo oscuro me calla (Me calla)
Me gusta cuando prende y me guaya
Un reggae lento pa' rozar lo' broche' (Esto)
Esto e' pa que se lo gocen
En lo oscuro me calla
Me gusta cuando prende y me guaya
Un reggae lento pa' rozar lo' broche' (Esto)
Esto e' pa que se lo gocen (Pa' que se lo gocen)"
El águila y las hormigas,rap,Piezas & Jayder,id_314,"Se marchó, no se despidió
Desde entonces ya no creo en Dios
La vida es vacía, es presión en el pecho
Lágrimas sabor licor
Y una frase que escribo y tacho, escribo y tacho"
El pájaro prieto,pop,Los Tigres Del Norte,id_322,"Pavo real que eres correo
Tu que vas al real del oro
Pavo real que eres correo
Tu que vas al real del oro
Si te preguntan que hago
Pavo real diles que lloro
LAgrimitas de mis ojos
Por esa joven que adoro"
Vuelve,rb,Danny Ocean,id_334,"No sabes cuántas veces pensé en decirte todo esto
Pero nunca encontré el momento perfecto
Aún te extraño como antes, y aún te pienso como siempre, yeah
Necesito ya de ti (ya de ti)
Sólo vuelve, vuelve, vuelve, baby (sólo vuelve, vuelve)
Me urges aquí dentro de mí
Sólo vuelve, vuelve, vuelve, oh, girl"
Valgo,rap,KHEA,id_340,"Valgo demasiado y estoy esperando algo
Todavía estoy callándome los diablo'
Sigue cayendo el fruto prohibido del árbol
Y, yeah, y, yeah, no puedo frenarlo
Es que cuando quedo solo pienso en continuar, bro
Es lo que te cuento y lo que te puedo insinuar yo
Que cuando pienso en drogas no paro y no paro (Yah)
Por eso nunca paramo' de drogarno' (Yah, yah, yah, yah)"
Pendiente de Usted,pop,Justin Quiles,id_342,"(Hoy quiero-quiero)
Hoy quiero volverla a ver
Y que de nuevo seas mía, vamo'
Hazme lo que no querías, vamo'
Hoy quiero volverla a ver, yeh
Si tú estás dispuesta (Ohh)
Y que de nuevo seas mía, vamo'
Hazme lo que no querías, vamo' (Oh-eh)"
Si Ellos Supieran,misc,Farina,id_346,"Letra de ""Si Ellos Supieran"" ft. Bryant Myers
Uuuh uuh, uuhhh uhhh
F.A.R.I.N.A
La nena fina
Bryant Myers"
Tras este Escenario,rap,Nach,id_347,"Somos uno, somos dos, somos muchos
De ciudad en ciudad
¿Dónde estáis?, No os escucho
Somos muchos, somos dos, somos uno
Cuando todo esto acabe, sólo habrá recuerdo y humo"
Veneno,pop,Frank Reyes,id_351,"Sabes bien, cuanto rogué
Y luche por ti, hasta mi dignidad perdí
Te creías una reina, con coronas y diadema
Por encima del hombre me vía serías la vida mía
Que descaro el tuyo, preguntar que si te amo todavía"
La casa por el tejado,pop,Fito & Fitipaldis,id_355,"Ahora sí, parece que ya empiezo a entender
Las cosas importantes aquí
Son las que están detrás de la piel
Y todo lo demás...
Empieza donde acaban mis pies
Después de mucho tiempo aprendí
Que hay cosas que mejor no aprender"
El Agente,pop,Miranda!,id_359,"Me regocija que preguntes
Acerca de mis costumbres
El saber que te intereso
Me resulta alentador
Comprenderías si te digo
El motivo por cual vivo
O serás de las del tipo
""No te entiendo, yo me voy"""
Mil Razones,rb,Sech,id_363,"Eh, eh, eh, eh
Tu y yo paseando en el Merce'
Hasta tus zapatillas te dicen Converse
Hable conmigo si te hablan de verse
Que tengo los menores que quieren hacerse"
