tweet,id,ideologia
Beca Alberto Levy Widmer favoreció a 37 alumnos de la Ufro en Temuco - http://t.co/AkoQqceFF4 hombre Alberto Levy!,id_32,Derecha
"@Cayita_Rioseco El asunto es que los activistas plantean el problema dd la base de q pagar x admin d fondos ya es ""robo"".",id_33,Derecha
"Nuestro equipo sigue atendiendo en la feria del 22 en Peñaflor. La Oficina Parlamentaria en Terreno permite estar cerca de nuestros vecinos, conocer sus necesidades y resolver consultas junto al concejal Eduardo Yañez. #SiempreEnTerreno https://t.co/YYl9Y56SXk",id_34,Izquierda
Gloria Naveillán critica duramente declaraciones de la diputada Hoffman https://t.co/1SRmOrGP4G vía @soytemuco,id_37,Derecha
"@AndresGomezCL En el Zoo Los Coyotes con niños de Chalco, en primera actividad del #DoctorDeLaAlegria en Mexico http://t.co/hGiJGediDT",id_38,Izquierda
Carta en @La_Segunda sobre Asociación Municipal de Seguridad Zona Oriente. Coordinación vecinal y comunal es clave! https://t.co/3fl2MwrJql,id_39,Derecha
FUERZA TIERRA AMARILLA‼️ Una lastima que tengamos que vivir nuevamente un episodio de corrupción en Tierra Amarilla. La comuna está a pocos días de entrar en cuarentena y es ahí donde más se necesitan a las autoridades locales y las del municipio https://t.co/IuMDedp7km https://t.co/N6z7eXCW0a,id_40,Centroderecha
"@Jimmylots @biobio @MuniCoronel. La semana pasada estuvo en la Zona Ministro de Transporte en compañía del Intendente,solicite ayuda x OO PP",id_41,Centroderecha
@gacelaturuleca @RafaelTorrebla2 Dices que bloqueas a los surdos. Por qué no me bloqueas? te gusta seguirme? te gusta hablarme?,id_42,Izquierda
"Orgullosa de de la Presidenta, gran cuenta pública y a seguir con las transformaciones",id_43,Izquierda
@PUrech Tengo familia catalana que hoy celebran junto a cientos de miles Independencia q en la España neofranquista actual es causa democrática,id_44,Izquierda
@Zasha_Parra Feliz Cumple pasalo excelentee!,id_45,Izquierda
"@RossyEster //. Tenemos Concejales que NO quieren ver el daño que la Empresa de Aseo genera en nuestra Comuna,pagamos bien por un MAL servic",id_46,Centroderecha
@Fpietrantoni Amigo me encantó el @CosechandoTV de hoy con tooooodo.  Gracias por tu aporte. Un abrazo gigante...!!!,id_47,Centro
@StevenS803 Si igual tal vez la vara estaba muy baja en ese sentido,id_48,Izquierda
"Colegio San Javier ha demorado 4 años la pavimentacion como todos saben, hoy me responde El Presidente del Centro... https://t.co/8j5m8a9WFQ",id_49,Centro
Vamos avanzando en distintos ámbitos para contar con una sociedad más justa y equitativa ✊🏻 teniendo claro que aún queda mucho por hacer !,id_51,Izquierda
"Los invito a conocer mi biografía, desde mi niñez hasta mi experiencia como servidor público. Un gran abrazo a todos https://t.co/wLjUUYuwVI https://t.co/Nup1SpapPi",id_52,Centroderecha
He publicado una foto nueva en Facebook http://t.co/51cmpLKtXt,id_55,Centroderecha
Nuestro apoyo como bancada @Diputados_PC a las demandas de más 13 mil manipuladoras de alimentos que exigen bono compensatorio ya que no están incluidas en las nuevas licitaciones de JUNAEB https://t.co/b72MpVdOuV,id_56,Izquierda
@matrivade Me refiero a que andaba en el mall de Viña no mas.,id_58,Derecha
"Proyecto de ley #ChaoTermoeléctricas: Mañana ingresaremos un proyecto para cerrar anticipadamente las termoeléctricas. El 2025 las que tienen menos de 30 años y las restantes de inmediato.
Démosle fuerza, ayuda a difundir! https://t.co/3ZW6YFeaD2",id_59,Izquierda
@victorfica4 @canalchatarra Yo no colaboro con gente que me tiene la pistola al pecho. No padezco todavía del sindrome de Estocolmo.,id_60,Derecha
"Estaremos atentos a ver cuáles  comisionados firman informe Comisión AFP, sepultando nuestro sistema de ahorro privado.",id_61,Derecha
"@ELFILETON @h_beax @FridaSiKahlo @rbascu1 🙄🙄🙄lo que es la ignorancia ! Infórmate  por favor del uso medicinal del cannabis; nuestro país lo incorporó hace rato, incluso hay dos fármacos de cannabis disponibles en farmacias. Actualízate !",id_62,Izquierda
“@LuisFdelrio: @PamJiles Cuando crearás tu canal x internet? Así t olvidas de líneas editoriales/ nuestra tarea es la tv abierta: masas,id_63,Izquierda
Lo de la alta votacion en la eleccion PPD me huele a votantes fantasmas y acarreo vergonzozo,id_64,Izquierda
"Hoy comienza la semana de Corte Alto, a participar.
Finaliza el viernes 6 de febrero, junto a la gran Sonora Palacios http://t.co/V4XxzD6qZl",id_65,Centro
"Sigue sumando apoyos Puerto Montt con vista al Mar, ahora Jaime Barria de Bordemar, #puertomontt https://t.co/U9vjSD3cZD",id_67,Centro
"Borghi tenías las mejores intenciones, No te metiste, te llamaron!! fuiste la pantalla de los que destruyeron a nuestra selección...ANFP.",id_68,Izquierda
"📣#Diálogos📺
Hoy un nuevo capítulo de #ZoomRegional con interesantes temas de análisis nacional y  Regional junto a @santibanezcore 
#UnidosxBiobío https://t.co/rjvYCIMJwa",id_69,Derecha
"@sergiozuloaga @F_Morales_E Lamento si mis respuestas son agrias, pero la verdad es que estoy que exploto de rabia. Saludos.",id_70,Derecha
"Estos desgraciados con esos sueldazos, mal preparados, además de narcisos levantados de r, hablando todo el día en TV desde la comidad del Congreso.Por pudor y decencia, que se callen un poco. Como no captan que la gente los detesta. Hay de todo, hay buenos parlamentarios, pero..",id_71,Centroderecha
Viendo Cadena Nac del Lunes c Min Beyer. Me da risa q se plantee como sanción al lucro multas o inhabilitar a la U. Más daño a estudiantes.,id_73,Derecha
"Miles de jovenes perderán año, muchos sus cupos y futuro CONTRA SU VOLUNTAD, ya q en asambleas ""democráticas"" se les priva de sus derechos.",id_74,Derecha
"@areynaldos @pcayuqueo así es, muy buena",id_75,Izquierda
@cogodoy @mbachelet La ley del aborto en tres cáusales se redactó y trabajó desde el Minsal. Cuando fui ministra de salud  en conjunto con la ministra de la mujer Claudia Pascual  ha sido un gran avance aunque falta mucho por hacer al respecto,id_76,Centro
@rauque_viviana Hola Viviana. Envíame un mail a Marisela.santibanez@congreso.cl. Espero tu correo!,id_77,Izquierda
Comienza el comité central del PS. Habla el presidente del Partido.,id_80,Izquierda
@StylsonNiam vos cagon jajaja,id_81,Centroderecha
"Desde el 12 al 27 de octubre en el GAM comienza @FestivalOcasion artes escénicas para la primera infancia, no hay excusas #guaguasalteatro",id_82,Izquierda
"En Chile todos tienen derecho a marchar. Incluso aquellos conservadores homofobicos disfrazados de ""pro familia"".  Pato Frez",id_83,Izquierda
@Liah_00110001 @SubdereNuble @ChillanOnline @CronicaChillan @NUBLEONLINE_ @radioisadorafm @RadioContigoFm @Radio_Alborada @radiomacarena @Radio_Carinosa @Discusionradio @enriquerivasr @paolabeckerv @redinteractiva_ Es el financiamiento para su sede y cierre perimetral,id_84,Centroderecha
@marioorellanag hasta mañana a las 10am aprox!,id_85,Izquierda
"@angelsotochile Gracias por el aporte! 21 de mayo #670, Arica.",id_86,Centro
"Me parece un discurso potente. El cambio climático, el cuidado del medioambiente y la reflexión sobre una economía compatible con un desarrollo humano tiene que ser prioridad; y a acciones más decididas y valientes. https://t.co/byPBa4UoN8",id_87,Centroderecha
https://t.co/124WYQAXdg,id_89,Izquierda
"Por todas las víctimas del terrorismo y sus familias

No olvidemos las personas asesinadas por los terroristas

No nos cansemos de pedir justicia

Si olvidamos los terroristas gana de nuevo

No más impunidad
No más terrorismo https://t.co/LZMwoaR2nq",id_90,Derecha
@novasurXV un abrazo gigante!!!,id_91,Centro
"Los dichos de la ministra Vega son graves e inaceptables, otra declaración desafortunada de un Secretario de Estado y otro llamado de atención al Presidente Boric a alinear a su equipo.
@DiputadosRN
#EnTerreno
#SiemprePresente
#LaAraucanía https://t.co/xfj7ovPKJU",id_92,Centroderecha
@Chcontrerasfue1 @gene_llerena 👏👏👏👏 Gracias querido amigo,id_93,Centroderecha
Querido @LEGOBRI que tengas un muy feliz cumpleaños. Mucho éxito y bendiciones para ti y tus hijos. Un abrazo cariñoso,id_94,Centroderecha
que buena en Argentina se entra como a un bachillerato o no?,id_95,Izquierda
"Inauguración de la sede del Sindicato Independiente de Pescadores Artesanales, Tripulantes de Cerco y Ramos Afines (Siptricer) de #Coronel y #Lota https://t.co/emjJra3skW",id_96,Izquierda
"5-0 zapatero, se acabó e partido",id_97,Derecha
Viajan al congreso nuestros ejecutivos @pivaras y @DiegoKhamis a promover la adopción como alternativa por la vida y la familia.,id_98,Centroderecha
@mcatarubio @CristianTecmed Ese es otro problema. Si alcaldesa Matthei está en contra de la ley y no quiere dar respiro a familiar chilenas es una cosa. Otra es torcer la interpretación de la ley a su favor.,id_99,Centro
"@jcaddeob Si, se ve muy prepotente, avasalladora",id_100,Centroderecha
Listo para comenzar marzo a entrenar con el mejor equipo @underarmourcl y la mejor compañía… https://t.co/Ekctjw40zQ,id_101,Centroderecha
Ahora viendo CNN............,id_102,Centroderecha
Test de drogas a congresistas! Hasta cuándo le hacen el quite? Aquí lo que alcance a decir antes que me cortaran la palabra https://t.co/6dcDmkNt64,id_103,Derecha
Agradecido de todos los parlamentarios que firmaron la solicitud y que hoy aprobaron en Sala la conformación de una Comisión Especial Investigadora de ENAP. Espero que salga la verdad a la luz y de una vez por todas acabemos con la corrupción al interior de esta empresa estatal. https://t.co/X1Tp2eVTVr,id_104,Centroderecha
"@Contraloriacl emitió Dictamen N° 92.308, estableciendo q los Municipios sólo pueden otorgar patente comercial a locales d explotación d máquinas,cdo éstas no sean juegos d azar.Y en caso d dudas,se db consultar al catálogo elaborado x la Superintendencia d Casinos y Juegos @TVN https://t.co/U3lj6MQMgM",id_105,Centroderecha
"En la mañana estuvimos desde @Quechiledecida_ conmemorando el #11deSeptiembre en el ex Centro de Detención Clínica Santa Lucía, hoy sitio de memoria. Con memoria construimos futuro y una vida digna. Este 25 de octubre #AprueboConMemoria y #ConvenciónConstitucional! https://t.co/iAcJkGpGvN",id_106,Izquierda
Finalizando el día acompañando al Santiago Morning de,id_107,Centro
"con Balti, en la celebracion de su primer año !! el colorin mas lindo del mundo!! http://yfrog.com/hs83snj",id_109,Izquierda
"Terminando sesión de la mañana en Cámara de Diputados, contento señor contento. https://t.co/zcFIQZhPhX",id_110,Centroderecha
"Jajajaajajajaja, hay tanta loca de patio suelta en Twitter.... https://t.co/apnfCS4sBr",id_111,Derecha
"@xumaher @pabloskyuch y por que me vas a ofender, ni se te ocurra!! no se quien es tu amigo?????????????????????",id_112,Izquierda
@ocarcp1973 @NicolasDormal El peor enemigo es la ignorancia!,id_113,Izquierda
"Nueva Constitucion, Fin al Binominal, AFP Estatal, Reforma Tributaria, Reformas Politicas, #pineraparatuhueveo",id_114,Izquierda
Maligna Teletón vía @elmostrador JUEGO VIL Q TRASPASA A MERCADO FARANDULA Y LUCRO LO Q ES RESPONSABILIDAD SOCIAL,id_115,Izquierda
"@jmartinezf64 No creo que de lo mismo. Qué es la unidad sin contenido, sin sustancia? Si no estaban dispuestos a mínimos programáticas y éticos en realidad nunca estuvieron dispuestos a nada. No son 30 pesos, son 30 años.",id_116,Izquierda
@RobinsonReyes Nada de llorar y a seguir trabajando con ánimo y entusiasmo paa que eso sea posible. Algun dia Chile tendrá q cambiar!!,id_117,Izquierda
Cuatro de cada 10 personas que comienzan a beber antes de los 15 años se convierten en alcohólicos.,id_118,Izquierda
"📰 Dejamos con uds la columna que escribió @elchedelosgays sobre el trabajo y las propuestas de la Comisión Investigadora sobre el aumento de casos del #VIH / #SIDA en #Chile, además d un repaso histórico d la lucha por visibilizar esta situación 👇🏻

➡ https://t.co/9NYVBS2vR3",id_119,Izquierda
"Periodista despedido por Radio Bio – Bio, tras escribir mensaje en su muro de Facebook http://t.co/i76YjUe5 @el_dinamo",id_120,Centro
"#Crucero con equipo Bienes Nacionales estuvimos en sector Callejón Muñoz,  con el objetivo de comenzar trabajo de apoyo a familias en la regularización de sus propiedades 🇨🇱",id_121,Centro
"""Porque yo he visto durante todo el invierno
el rosal silvestre mostrarse rígido y feroz
pero después ostentó una rosa en la cima""

DANTE.",id_122,Centro
"Temporal de viento y lluvia,afecta a esta hora nuestra Comuna.Equipo de emergencia Municipal, Bomberos y Carabineros recorriendo la Ciudad.",id_123,Centroderecha
"RT @esponjacuadrada:siempre se agradece encontrarse con gente guapa en los pasillos/sabia que te había gustado el baile de hoy, mañana samba",id_124,Izquierda
@CreoAntofagasta a que correo les puedo enviar informacion que puede set de interes de nuestra ciudad ? Slds,id_125,Centro
"@enrique220 De todas maneras, importante es que se organicen y coordinen con el Depto de Seguridad de la municipalidad. Slds.",id_126,Izquierda
@EnTodasConMaite muy mal,id_127,Izquierda
"«El cannabis, como la sal, depende de la dosis» http://t.co/SU8cQIGJch vía @lariojacom",id_128,Izquierda
@RGADELA gracias amigo...que sea esta noche  clara y abierta para ti !!!,id_129,Izquierda
@vale_ortega aahhh ... me alegro...mandale mis cariños a gurù de todas formas,id_130,Izquierda
@dion_dioniss Sigame pues....,id_131,Centroderecha
@caritocorva @ElMatRivade @RTerrazasG @MuniVitacura @TroncoTorrealba Alguna razón para la fecha de venc? Existió el conv antes?,id_132,Derecha
"@VirgenMar1a @rjimenez_perez María, todo el mundo va a enterarse de la inseminación!!! Te dije que eso del Espíritu Santo no te lo iban a creer ni tu madre!!!😱",id_133,Izquierda
"Le he pedido a nuestro equipo legal que redacte Presentación a la Contraloría, para que revise si acá hay algún mal uso de recursos municipales para fines políticos. Y vea posibles responsabilidades respecto del Municipio que conduce @IraciHassler https://t.co/Tupb5xCp7S",id_134,Centroderecha
"🟣🔹Felicitaciones y todo mi apoyo al nuevo Presidente de la @Camara_cl, @diegopaulsen de @RNchile , a @PanchoUndurraga , quien fue electo como 1er Vicepresidente y a @rodrigodiputado como 2do.

@DiputadosRN https://t.co/0dbDLfPdar",id_135,Centroderecha
"Fui el primer diputado en chile...autor del proyecto para poner fin a LA PESCA DE ARRASTRE...""el año 2007 perdimos  x tres votos ..hoy tambien perdimos  hasta cuando el parlamento sigue traicionando a nuestra patria...yo me pregunto   hasta cuando...? ""Aun hay patria ciudadanos!",id_136,Centro
Así se construye unidad de las fuerzas políticas y sociales transformadoras ✊🏼 https://t.co/0nDVJv5qxq,id_137,Izquierda
"@jvcdsatelite buen artículo!! Gracias, me parece interesante la propuesta, hay que pensar en grande!!",id_138,Izquierda
"@un2tresxmi. Esperemos confiados que el 31/03/13, dejara de cobrar Plaza de Peaje Coronel. Compromiso de nuestro Gobierno que se Cumplirá.",id_139,Centroderecha
"Realizan el VI Encuentro Internacional de Obstetricia y Ginecología en Viña del Mar
  

El VI Encuentro Intern… (cont) http://deck.ly/~60SAD",id_140,Centroderecha
"La vida proviene de los Océanos🌊, y hoy, 8 de Junio, #DiaMundialDeLosOceanos, renovemos el llamado a protegerlos desde la conciencia, las acciones individuales,  y por supuesto, desde las políticas públicas que debemos impulsar 💙👍🏼 https://t.co/V5O80wLZPy",id_141,Izquierda
"""@CORPOAUDIMAR: @ANDRESCELISM llamé pro dic lo consultará con Ud y aun no tnemos resp para agendar, esperamos nov,salu2/El lunes en la tarde",id_142,Centroderecha
@kelseypokoli @danieljadue @gabrielboric Son shows que hacen todos los que se las quieren dar de cultos,id_143,Centroderecha
@3eraDt @EErlandsen @allamand @alvaroelizalde @HeraldoMunoz @fchahin @MaldonadoCurti Vea el informe Rettig,id_144,Derecha
"@qaritooO jajaja anda a tirar tomates a la golum, haz una huelga!",id_145,Izquierda
@Camii_R_ @patsycontardo Antes los únicos que usaban mascarillas eran los ciclistas 😂,id_146,Izquierda
Q interesante hoy presidente Piñera realiza una serie d inauguraciones en,id_147,Izquierda
"@Carolnauta desde que hay encuestas, es el peor evaluado",id_149,Izquierda
"@Sinaprof Les escuchamos el lunes pasado, ya basta de mentir. Está en video en https://t.co/adCmdx7EYC 

Por qué no quieren el proyecto?
Cuál es su relación con las forestales? Las representan a ellas o a los trabajadores?",id_150,Izquierda
"@juanfcosanchezs Pero criticar su exis desde lo ético es equivocado, pq n realidad actual ellas necesitan ese trabajo.",id_151,Derecha
o http://t.co/I1ANoklzKy,id_152,Izquierda
"Lo leí, tu mamá las hace. La de cuadros es preciosa y la blanca entera",id_153,Centroderecha
"@gilokong @karen_rojov ok, tomo nota y transmito la informacion a los encargados",id_154,Centro
"@cmilogonzalezcl @Cooperativa Hola te invito a que leas la respuesta  e informe de la @Contraloriacl , por último saludos a tu papá, activo militante del PPD y ex Candidato a Concejal por Viña del Mar. Saludos.",id_155,Centroderecha
"Por los trabajador@s de Chile ANUNCIÓ VOTO A FAVOR #nuevoretiro10porciento SIN LETRA CHICA!!! Y quedo muy atento para defender mi Proyecto de Ley que además de este retiro busca beneficiar a quienes están en rentas vitalicias, sistema antiguo y quienes no tienen fondos en su AFP https://t.co/X2NxgXE63p",id_156,Centro
La Constitución y los derechos laborales https://t.co/Vnklie6uwy,id_157,Izquierda
Recorriendo miradores  d Miraflores;a los cuales se les agrega a la Ordenanza d alt max d Miradores http://t.co/I3D7f2nR,id_158,Centroderecha
Creer que la aprobación presidencial se define en el concierto de Paul McCartney es como creer que porque sbrieron un nuevo Starbucks la economía va repuntando. @elfrente_amplio haciendo política de Estoril para arriba.,id_159,Derecha
TU ERES ESO El Puchero del Hortelano: http://t.co/su2hfx1m vía @youtube,id_160,Centroderecha
Rio Cuervo: carabineros impide a la prensa acreditada hacer su trabajo y la empuja contra las rejas,id_161,Izquierda
"@yoopinopino @GiorgioJackson jajaj da entre risa y pena tanta bajeza, en serio.",id_162,Derecha
@GiorgioJackson @aleguillier @Antoniohorvath @vladomirosevic Respaldando las indicaciones en el Senado http://t.co/in65HIwcps,id_163,Centro
"@felipekast ESM pregunta si nos mandas 5 propuestas de sociedad civil. Simples, cortas. ¿Puedes?",id_165,Derecha
"Terminamos la jornada en #Vallenar en un muy bonito encuentro  para tomar contacto de necesidades y sobre todo agradecer a organizaciones sociales, deportivas y comités que nos dieron su apoyo y confianza en este segundo periodo como diputada.  😙: me siento feliz",id_166,Izquierda
"En prox. horas se intensificarán precipitaciones, Depto. Emergencia y Talavecinos redoblan turnos. Cualquier... http://t.co/qMErAKDe",id_167,Izquierda
"#adimark Piñera baja 6 puntos en categoria ""cuenta con liderazgo""",id_168,Izquierda
"Página/12 - A 70 años de Auschwitz, exclusiones e hipocresías http://t.co/0BPQIRntrA",id_169,Izquierda
@DanyG94946959 @jusevar25 Muchas gracias 😊,id_170,Derecha
"Cuando apedrean Ubilla y Hinzpeter salen a cada rato, aca mataron a un niño donde mierda estan las autoridades!",id_171,Izquierda
"⚡ SOLICITO  SE CONSIDERE INCORPORAR A GREMIOS DE PSICÓLOGOS Y TRABAJADORES SOCIALES A MESA COVID-19 

Pido incorporación de estos profesionales dado el alto impacto en la salud mental y en las relaciones sociales de las personas tras el encierro. Cifras son alarmantes‼️ https://t.co/JSUTtEyAId",id_172,Centroderecha
@andresfritz Hoy leí en @emol una noticia sobre la última convocatoria de Anonymous y daba todos los datos del hackeo masivo ¿Ética?,id_174,Derecha
@rflorestoro Parece ser. Según he oido está potente la 1A este año.,id_175,Derecha
@AndresGonzalezR @le_Parisien jajajjaaj si,id_176,Izquierda
A entrenar duro en el GYM junto a @franciscaayala!!!,id_177,Centroderecha
Compartiendo en Quinamavida con las artesanas de la lana del sector. Quienes solicita. que se trabaje en el tema turístico.  Una corporación que organiza varias fiestas costumbristas en la zona https://t.co/TBfvVMEQv8,id_178,Izquierda
"@lambruchini19 Lo sé, por eso extraña que su jefe programático diga que “no está en el programa “!!! Mínima coherencia !!! #VotaCannabis https://t.co/bXW46jsCAk",id_179,Izquierda
RT @twitsessions: Vincent Moon libera de forma gratuita Temporary Valparaíso → http://bit.ly/lQUP5Q / por fin!,id_180,Derecha
"🟠 Nos encaminamos a un nuevo desafío cruzando fronteras! ✈️😱 Nos dirigimos a Argentina para acompañar a nuestro Presidente @gabrielboric en una visita diplomática a nuestrxs hermanxs Puelches 🌿

Les estaremos contando y compartiendo lo que sucederá durante la semana 🙌🏽 https://t.co/yNPsKXt3QY",id_181,Izquierda
Saliendo de la exposición del ex Ministro de Hacienda Andrés Velasco.,id_182,Centroderecha
Hoy la Bancada Antitorrorista del Congreso definimos hacer la siguiente declaración pública a raíz de los impresentables dichos de la Delegada Presidencial Daniela Dresdner. https://t.co/l6qxDDpMSa,id_184,Derecha
@AVATTE toda la zona pesquera artesanal queda para Chile(desde la orilla),id_185,Centroderecha
@allamand Cual es su propuesta en cuanto a Política de Drogas?,id_186,Izquierda
"Compartiendo con el Grupo de Adulto Mayor Los Años Dorados de #valdiviacl, tomando una rica once http://t.co/PZ42CuJPtX",id_187,Izquierda
Ahora cenando con el sindicato de locatarios de la feria Pinto de nuestro,id_188,Centroderecha
Valiente,id_189,Izquierda
"Si ya es condenable y penoso que @rodolfocarter use un concejo municipal para denostar a una edil, más preocupante aún resulta el tono misógino que utiliza en contra de @MarceAbedrapo. De seguro no es esta la imagen que busca mostrar en su presencia ubicua en matinales https://t.co/ucXUszFt47",id_190,Izquierda
"Parece que en gobierno de Piñera, algunos hambrientos engordaron. En este gobierno, Tamos quedando pelaos. 🤔 https://t.co/TfLBejZ6Ac",id_191,Derecha
"@Pabenri @fernandopaulsen efectivamente. Por ""hacer mierda"" (en tus palabras) intencionalmente con información falsa, debe #renunciapaulsen",id_192,Centroderecha
"En nuestra oficina parlamentaria de Coronel, desde las 9.30 a 13 hrs en atención de Vecinos que agendaron reunión con nuestra Secretaria Sra. Nancy Mella.",id_193,Centroderecha
@jlcontre @PRChile Gracias!,id_194,Derecha
"Claramente hoy tenemos cada vez mas posibilidades de tener en Los Ríos un gran senador, cercano y siempre en terreno vamos con @adeurresti",id_195,Izquierda
@mediocalor El 56% que les saco la cresta en la elección presidencial.,id_196,Derecha
En Los Vilos con mi querido amigo Julio Rojos conversando en Radio Balneario 📻 sobre el tercer retiro del 10% y la actualidad regional. https://t.co/xe7ikWQiZr,id_198,Centro
para mi seguros en la nomina faltaron Pipe Gutierrez y Rocky Gonzalez ademas de Orellana,id_199,Izquierda
@kirsche1019 Jajajajaja,id_200,Derecha
"@alejandrorepe eso si, pero no los cagazos de los montajes y peleas con otros poderes",id_201,Izquierda
@CarolinAngelina pobreza en la Araucania no es exclusiva de mapuches,id_202,Derecha
He publicado una foto nueva en Facebook http://t.co/FBnqVayCbu,id_203,Centroderecha
"“@Comando_Pablo: ¡Votemos por mayor justicia social, votemos B5 #PabloxChileMásJusto! http://t.co/ciMWBq3dnj”",id_204,Centroderecha
Idea de,id_205,Centro
Esta obra del pintor José Triviño refleja mágicamente el significado de la Goleta de Ancud para chilotes y magallanicos. Increíble trabajo! https://t.co/Poyk1MSg4x,id_206,Centro
@ChiloteChadwick @DiputadosRN Aproveche algún curso de ortografía hermano,id_207,Centroderecha
"Hoy se lanzo el programa de @BeaSanchezYTu, en él se plasman las ideas de muchos y muchas que estamos por transformar Chile #ElPoderDeMuchos https://t.co/1FEgnYs5Ga",id_208,Izquierda
Saliendo del congreso CIRLA donde estabamos apoyando a @DesafioChile y @savetheworldcl. Ahora a clases.,id_209,Derecha
Pronto,id_210,Centro
@juanvargasv cuando quieras,id_213,Derecha
Mi imposibilidad de decir que no... Metido en un nuevo proyecto.,id_214,Derecha
@PRETORCHILE reportaje sobre creditos universitarios,id_215,Izquierda
"El Gobierno del Presidente @sebastianpinera está respondiendo a una demanda que se había planteado en administraciones anteriores y que las víctimas de violencia rural esperaban @DiputadosRN
https://t.co/j982lhcb9H",id_217,Centroderecha
@LaperGris @JoviNomas @SailorViiolet Cuidado con el prejuicio,id_218,Izquierda
@StuardoCarlo @24HorasTVN Es la realidad. Uno que cultiva es uno que no compra. Quien cultiva su planta lucha activamente contra el Narcotráfico. Con el próximo gobierno con @gabrielboric a la cabeza avanzaremos. Basta de vulnerar los derechos de usuarias y usuarios! https://t.co/T0NrpED5NB,id_219,Izquierda
Estamos listas! http://t.co/jh5foTD4o9,id_220,Centroderecha
Van 22.368 hrs  y PIÑERA no habla del PRIVILEGIO de tener una PLAYA PRIVADA y NO PAGAR CONTRIBUCIONES EN 30 AÑOS.El poco apoyo que tiene este gbno se va haber reflejado en la baja participacion de la primaria presidencial de la derecha. https://t.co/01tGqrS9Ns,id_221,Izquierda
Ahora dice que Acosta jugaba feo https://t.co/BImIG0Etpz,id_222,Izquierda
