ID,medio,titulo_noticia,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,total_palabras,porc_anger,porc_anticipation,porc_disgust,porc_fear,porc_joy,porc_sadness,porc_surprise,porc_trust
id_118,bbcl,Con foco en la electromovilidad: ¿Cómo avanza Chile hacia un transporte de carga más sustentable?,0,1,0,1,1,0,0,7,76,0,1.32,0,1.32,1.32,0,0,9.21
id_119,bbcl,EEUU anuncia su salida de la Unesco por no contribuir a sus intereses,0,0,0,0,0,0,0,1,52,0,0,0,0,0,0,0,1.92
id_12,bbcl,No están muertos: experto explica cómo puedes salvar a los insectos que se ahogan en la piscina,1,0,1,1,0,0,0,1,17,5.88,0,5.88,5.88,0,0,0,5.88
id_120,bbcl,Municipalidad de Valdivia anunció acciones contra sujeto que fue sorprendido botando basura en humedal,0,1,4,1,1,1,1,2,51,0,1.96,7.84,1.96,1.96,1.96,1.96,3.92
id_121,bbcl,CMPC revela avances en sostenibilidad: destaca reducción de emisiones y gestión de residuos,0,1,1,0,1,0,1,2,60,0,1.67,1.67,0,1.67,0,1.67,3.33
id_122,bbcl,Reino Unido y Alemania pactan su mayor acuerdo de defensa mutua desde la Segunda Guerra Mundial,15,5,3,14,3,7,1,11,50,30,10,6,28,6,14,2,22
id_123,bbcl,Metro de Nueva York inundado y dos muertos en Nueva Jersey: lluvias causan estragos al noreste de EEUU,0,1,0,2,0,1,1,0,59,0,1.69,0,3.39,0,1.69,1.69,0
id_124,bbcl,"Se viene el día más corto de la historia del planeta Tierra: entre 1,3 y 1,51 milisegundos menos",1,0,0,1,0,1,1,3,45,2.22,0,0,2.22,0,2.22,2.22,6.67
id_125,bbcl,"""Es como dispararse en los pies"": Mundaca critica al Ejecutivo por retraso de tren Valparaíso-Santiago",1,0,1,2,0,0,0,2,41,2.44,0,2.44,4.88,0,0,0,4.88
id_126,bbcl,No es solo un aumento de las temperaturas: por qué el cambio climático también significa frío extremo,0,0,0,1,0,0,0,0,45,0,0,0,2.22,0,0,0,0
id_127,bbcl,A fines de julio inicia la renovación: RED incorporará 1.800 nuevos buses eléctricos en Santiago,0,4,0,0,1,0,0,2,40,0,10,0,0,2.5,0,0,5
id_128,bbcl,"Lula busca que Brasil e India integren Consejo de Seguridad de la ONU: ""Hay países que animan guerras""",5,3,0,5,2,4,0,4,41,12.2,7.32,0,12.2,4.88,9.76,0,9.76
id_129,bbcl,"Las abejas melíferas están eliminando el 80% del polen y dejan a las nativas sin nada, dice estudio",0,1,0,1,2,0,0,0,25,0,4,0,4,8,0,0,0
id_13,bbcl,Incendios en la Patagonia argentina no cesan y ya han arrasado 21.000 hectáreas,2,0,2,3,2,1,0,3,48,4.17,0,4.17,6.25,4.17,2.08,0,6.25
id_130,bbcl,Volcanes chilenos demostraron que el deshielo de glaciares podría desencadenar una ola de erupciones,0,0,0,1,1,0,0,0,28,0,0,0,3.57,3.57,0,0,0
id_131,bbcl,Con técnica Miyawaki: Gobierno de Santiago y Municipalidad de Peñalolén plantan más de mil árboles,0,0,0,1,1,0,0,0,25,0,0,0,4,4,0,0,0
id_132,bbcl,"James Hamilton, el denunciante de Karadima que encontró una explicación al abuso con el ""Homo exul""",3,0,2,3,0,3,0,0,36,8.33,0,5.56,8.33,0,8.33,0,0
id_133,bbcl,Hallan parásitos y bacterias potencialmente peligrosas en 4% de ensaladas envasadas: cómo eliminarlos,3,1,2,7,1,4,0,0,43,6.98,2.33,4.65,16.28,2.33,9.3,0,0
id_134,bbcl,"Reportan que el océano se está haciendo más salado en la Antártica: ""Es profundamente preocupante""",2,1,0,4,0,0,0,1,71,2.82,1.41,0,5.63,0,0,0,1.41
id_135,bbcl,"ONU advierte sobre frío extremo en Chile y Argentina: ""la dureza de este evento es excepcional""",2,1,2,3,1,3,0,1,43,4.65,2.33,4.65,6.98,2.33,6.98,0,2.33
id_136,bbcl,Con un incómodo abrazo: Milei traspasa la presidencia del Mercosur a Lula,4,0,2,3,3,2,0,3,49,8.16,0,4.08,6.12,6.12,4.08,0,6.12
id_137,bbcl,"El cóndor andino y otras 500 especies de aves se extinguirán en los próximos 100 años, según estudio",1,2,0,4,0,0,1,1,30,3.33,6.67,0,13.33,0,0,3.33,3.33
id_138,bbcl,"Gobierno defiende en el Senado la asistencia de Boric a foro de los BRICS: ""Es una decisión prudente""",0,2,0,1,1,0,0,6,39,0,5.13,0,2.56,2.56,0,0,15.38
id_139,bbcl,¿Quién es Lauren Sánchez? La futura esposa del magnate estadounidense Jeff Bezos,0,2,0,0,2,0,0,3,26,0,7.69,0,0,7.69,0,0,11.54
id_14,bbcl,"Congreso Futuro 2026 en vivo: sigue el evento por streaming y conoce programa, entradas y fechas",0,0,2,0,0,0,1,5,47,0,0,4.26,0,0,0,2.13,10.64
id_140,bbcl,Una rara enfermedad está matando a las estrellas de mar y se expande por el mundo,0,1,0,0,0,0,0,1,31,0,3.23,0,0,0,0,0,3.23
id_141,bbcl,Científicos de Escocia crean paracetamol a partir de residuos plásticos: usaron bacterias modificadas,0,2,2,1,1,1,0,1,43,0,4.65,4.65,2.33,2.33,2.33,0,2.33
id_142,bbcl,Cuándo es el cambio de hora: la fecha de retorno al horario de verano y a los días más largos,0,1,0,2,0,0,0,0,38,0,2.63,0,5.26,0,0,0,0
id_143,bbcl,9 rituales populares durante la Noche de San Juan: se dice que algunos atraen el amor y la prosperidad,0,1,0,0,2,0,0,1,54,0,1.85,0,0,3.7,0,0,1.85
id_144,bbcl,Armada alerta por marejadas en 14 regiones del país con olas de hasta 5 metros,1,0,0,2,0,1,0,1,38,2.63,0,0,5.26,0,2.63,0,2.63
id_145,bbcl,USS se integra al Comité Oceanográfico Nacional: aportará con investigación en Ciencias del Mar,0,3,0,1,1,0,1,3,37,0,8.11,0,2.7,2.7,0,2.7,8.11
id_146,bbcl,Así será el invierno 2025 en Chile: adelantan condiciones extremas por el cambio climático,0,2,0,2,0,0,0,1,65,0,3.08,0,3.08,0,0,0,1.54
id_147,bbcl,"Un nuevo proyecto eólico en Chiloé amenaza al río Huicha, un bosque nativo y una estación biológica",0,2,0,1,0,0,0,0,30,0,6.67,0,3.33,0,0,0,0
id_148,bbcl,Arquitecturas efímeras del sur del mundo: Lecciones éticas y culturales desde la Tierra del Fuego,1,0,0,1,1,0,0,3,37,2.7,0,0,2.7,2.7,0,0,8.11
id_149,bbcl,¿Por qué Marte perdió toda su agua? Científicos creen que un fenómeno natural pudo haberlo provocado,0,2,0,0,0,0,0,0,22,0,9.09,0,0,0,0,0,0
id_15,bbcl,Temperatura de los océanos alcanzó máximos históricos en 2025: por qué es preocupante,1,0,1,1,1,1,0,5,60,1.67,0,1.67,1.67,1.67,1.67,0,8.33
id_150,bbcl,Investigadora chilena liderará evaluación global de soluciones públicas medioambientales,0,5,0,0,2,0,2,5,57,0,8.77,0,0,3.51,0,3.51,8.77
id_151,bbcl,Perú firmó el Tratado de Alta Mar: la polémica sobre las 200 millas y la postura de Chile,0,2,0,2,1,1,1,7,52,0,3.85,0,3.85,1.92,1.92,1.92,13.46
id_152,bbcl,"Baguales, la cordillera olvidada frente a Torres del Paine",0,1,0,0,1,0,0,3,35,0,2.86,0,0,2.86,0,0,8.57
id_153,bbcl,SLEP Valparaíso: funcionario trabajó simultáneamente en el servicio y en el municipio de La Calera,0,0,0,1,0,0,0,3,39,0,0,0,2.56,0,0,0,7.69
id_154,bbcl,"La ONU advierte que la temperatura promedio de la Tierra podría superar el límite de 1,5° C al 2029",0,2,0,0,1,1,1,3,20,0,10,0,0,5,5,5,15
id_155,bbcl,"Pueblo suizo quedó destruido por desprendimiento de un glaciar, pero estaban preparados y nadie murió",2,1,0,5,0,1,0,1,58,3.45,1.72,0,8.62,0,1.72,0,1.72
id_156,bbcl,"Científicos advierten que el océano se está oscureciendo: ""Es un verdadero motivo de preocupación""",0,1,0,0,1,0,0,1,30,0,3.33,0,0,3.33,0,0,3.33
id_157,bbcl,"Experto explica por qué el chinche del arce regresó en pleno otoño: ""Debería iniciar su hibernación""",0,2,2,5,0,2,0,2,29,0,6.9,6.9,17.24,0,6.9,0,6.9
id_158,bbcl,Chile logra doble hito en Antártica: primera base científica permanente y con jefa en invierno,0,1,0,1,0,0,0,5,28,0,3.57,0,3.57,0,0,0,17.86
id_159,bbcl,"Qué es Sernafor, el nuevo organismo que reemplazará a Conaf con novedades en combate de incendios",0,2,0,2,1,2,1,4,46,0,4.35,0,4.35,2.17,4.35,2.17,8.7
id_16,bbcl,Por orden de Trump: las organizaciones de la ONU de las que se retiró EEUU (y cómo reaccionó Guterres),1,4,0,1,2,3,2,7,47,2.13,8.51,0,2.13,4.26,6.38,4.26,14.89
id_160,bbcl,Causa y Efecto: ¿Estamos preparados para tornados? el caso de Puerto Varas abre una alerta nacional,1,1,0,3,0,1,1,1,41,2.44,2.44,0,7.32,0,2.44,2.44,2.44
id_161,bbcl,¿Podría producirse un tornado en Santiago? Qué dicen los expertos y la historia,0,0,0,1,0,0,0,2,44,0,0,0,2.27,0,0,0,4.55
id_162,bbcl,Extinguidos por humanos: revelan datos inéditos de los perezosos gigantes que vivieron en la Patagonia,1,2,0,2,0,0,1,1,46,2.17,4.35,0,4.35,0,0,2.17,2.17
id_163,bbcl,"Experto despeja dudas sobre los tornados en Chile: ""Es un país de tornados, han ocurrido siempre""",0,0,0,2,0,0,0,1,37,0,0,0,5.41,0,0,0,2.7
id_164,bbcl,Presidente Gabriel Boric viajará a Puerto Varas tras estragos generados por tornado,0,1,1,3,0,2,1,5,39,0,2.56,2.56,7.69,0,5.13,2.56,12.82
id_165,bbcl,Virus gigantes y bacteriófagos: identifican más de 2.400 nuevos genomas virales en la Antártica,0,1,0,0,0,0,0,0,22,0,4.55,0,0,0,0,0,0
id_166,bbcl,"Sobregiro ecológico: si todo el mundo agotara recursos como Chile, se necesitarían 2,7 planetas Tierra",0,0,0,0,2,0,0,2,26,0,0,0,0,7.69,0,0,7.69
id_167,bbcl,CChC expone 60 propuestas a candidatos presidenciales: busca promover inversión y acceso a viviendas,0,4,0,1,2,1,0,2,47,0,8.51,0,2.13,4.26,2.13,0,4.26
id_168,bbcl,Qué tan peligrosa es y cómo reconocer la Mosca de la Fruta: aumentaron en Chile en los últimos años,3,0,5,3,1,3,0,3,50,6,0,10,6,2,6,0,6
id_169,bbcl,"Presidente Boric defiende el ""multilateralismo, diálogo y libre comercio justo"" en foro China-Celac",1,1,0,0,0,2,1,6,61,1.64,1.64,0,0,0,3.28,1.64,9.84
id_17,bbcl,Informe REMA 2025 revela disminución del 23% en contaminación por material particulado en Chile,0,1,1,1,1,1,0,2,47,0,2.13,2.13,2.13,2.13,2.13,0,4.26
id_170,bbcl,León XIV votó en varias primarias de Republicanos en EEUU hasta 2016: antes lo hizo en Demócratas,0,0,0,0,1,0,0,2,50,0,0,0,0,2,0,0,4
id_171,bbcl,¿Qué piensa el Papa León XIV sobre...? La postura del sumo pontífice respecto de temas controversiales,0,2,0,1,2,0,0,5,61,0,3.28,0,1.64,3.28,0,0,8.2
id_172,bbcl,Usach postula al sociólogo Cristian Parker al Premio Nacional de Humanidades y Ciencias Sociales 2025,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0
id_173,bbcl,Día Mundial del Asma: la compleja enfermedad crónica en alza en Chile y los factores que la provocan,2,2,2,7,0,4,1,0,36,5.56,5.56,5.56,19.44,0,11.11,2.78,0
id_174,bbcl,Gobierno promulga ley que crea el Servicio Nacional Forestal y convierte Conaf en servicio público,0,0,0,1,0,0,0,3,51,0,0,0,1.96,0,0,0,5.88
id_175,bbcl,"Boric en Brasil: ""Tenemos que defender el multilateralismo como herramienta para enfrentar desafíos""",4,3,0,5,1,3,2,8,60,6.67,5,0,8.33,1.67,5,3.33,13.33
id_176,bbcl,"Alcalde de Pucón tras intensas precipitaciones en la zona: ""No son normales, fue demasiado""",0,0,0,1,0,2,0,0,49,0,0,0,2.04,0,4.08,0,0
id_177,bbcl,"El cambio climático aumenta el arsénico en el arroz y podría volverse cancerígeno, según estudio",0,3,0,1,0,0,0,1,25,0,12,0,4,0,0,0,4
id_178,bbcl,Boric podría asistir como invitado a cumbre del BRICS: expertos llaman a evaluar posibles efectos,0,1,0,0,0,0,0,3,40,0,2.5,0,0,0,0,0,7.5
id_179,bbcl,"Por sexta vez, Chile será el primer país de Latam en alcanzar el Sobregiro Ecológico: quedan 4 semanas",0,1,0,1,0,1,0,2,28,0,3.57,0,3.57,0,3.57,0,7.14
id_18,bbcl,Firman convenio para acelerar implementación de infraestructuras de aguas lluvias para la RM,0,1,0,1,0,0,0,2,36,0,2.78,0,2.78,0,0,0,5.56
id_180,bbcl,Inauguran Feria Expomin 2025 con gran hito: es el primer evento carbono-neutral del sector minero,0,0,1,0,0,0,1,3,50,0,0,2,0,0,0,2,6
id_181,bbcl,"Congreso internacional, pabellón de innovación y más: Las actividades planeadas para Expomin 2025",0,0,1,0,0,0,0,2,39,0,0,2.56,0,0,0,0,5.13
id_182,bbcl,"¿Por qué la superficie del océano se está calentando 4,5 veces más rápido desde 2019?",0,1,0,1,0,0,0,0,20,0,5,0,5,0,0,0,0
id_183,bbcl,"Cancillería expresa condolencias por fallecimiento de papa Francisco: ""Fue un líder internacional""",0,1,0,2,1,1,0,1,30,0,3.33,0,6.67,3.33,3.33,0,3.33
id_184,bbcl,Imagen de un niño palestino mutilado en Gaza es elegida Foto del Año del World Press Photo,2,2,0,4,1,1,1,3,49,4.08,4.08,0,8.16,2.04,2.04,2.04,6.12
id_185,bbcl,Ya es ley: Senado aprueba por unanimidad el nuevo Servicio Nacional Forestal,0,0,0,0,0,0,0,4,45,0,0,0,0,0,0,0,8.89
id_186,bbcl,"Califican ""insuficiente"" el compromiso de Chile para mantener el calentamiento global en 1,5°C al 2035",1,3,0,3,1,3,1,4,28,3.57,10.71,0,10.71,3.57,10.71,3.57,14.29
id_187,bbcl,"NASA alerta sobre posible  ""inundación milenaria"" sin precedentes en Estados Unidos durante abril",0,1,0,1,0,0,0,0,42,0,2.38,0,2.38,0,0,0,0
id_188,bbcl,Cabras sobrevivieron casi 3 siglos sin agua dulce en isla de Brasil: estudian posible nueva raza,0,1,0,0,1,0,1,2,22,0,4.55,0,0,4.55,0,4.55,9.09
id_189,bbcl,Transforma el peligro en oportunidad: Descubren árbol que se beneficia de los rayos para sobrevivir,0,0,0,0,1,0,0,0,36,0,0,0,0,2.78,0,0,0
id_19,bbcl,Congreso Futuro 2026: ¿cuándo comienza y quiénes serán los expositores de este año?,0,0,1,0,1,0,0,4,28,0,0,3.57,0,3.57,0,0,14.29
id_190,bbcl,"Si la Tierra se calienta más de 3°C, acabaría con el 40% de la economía mundial, advierten expertos",0,2,0,1,0,0,0,0,40,0,5,0,2.5,0,0,0,0
id_191,bbcl,"Máximo Corvalán-Pincheira: ""Chile, la tensión entre memoria, olvido, supervivencia y desaparición""",4,5,3,5,4,8,4,1,77,5.19,6.49,3.9,6.49,5.19,10.39,5.19,1.3
id_192,bbcl,Desprendimiento de un colosal iceberg en la Antártida reveló ecosistema con arañas marinas gigantes,0,1,0,3,1,1,1,3,39,0,2.56,0,7.69,2.56,2.56,2.56,7.69
id_193,bbcl,¿Por qué los millennials se ven más jóvenes que los veinteañeros de la Generación Z?,0,0,0,0,0,0,0,3,37,0,0,0,0,0,0,0,8.11
id_194,bbcl,"Lesoto, la monarquía africana que inspiró a ""Wakanda"" y donde hay nieve durante todo el año",1,0,0,0,1,0,0,2,39,2.56,0,0,0,2.56,0,0,5.13
id_195,bbcl,"Presidente Boric defiende proyectos a largo plazo y critica el modo ""motosierra"" en reformas estatales",0,2,0,0,0,0,1,4,37,0,5.41,0,0,0,0,2.7,10.81
id_196,bbcl,BID en Chile: brazo financiero del organismo se propone duplicar sus inversores en Latinoamérica,0,1,0,0,0,1,0,1,39,0,2.56,0,0,0,2.56,0,2.56
id_197,emol,Región Metropolitana será la primera de Chile con el 100% de sus comunas con estrategias de seguridad hídrica,0,1,0,0,0,0,0,0,13,0,7.69,0,0,0,0,0,0
id_198,emol,El estado del medio ambiente en Chile: Las olas de calor se incrementaron a más del doble en 60 años,1,0,1,2,0,1,0,0,15,6.67,0,6.67,13.33,0,6.67,0,0
id_199,emol,Calentamiento global: Estas son las regiones del mundo que vivieron un año récord de calor extremo en 2025,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
id_2,bbcl,Investigadores chilenos desarrollan árboles nativos más resistentes para reforestar tras incendios,0,0,0,1,0,0,0,0,13,0,0,0,7.69,0,0,0,0
id_20,bbcl,"El abejorro más grande del mundo, nativo de Chile y Argentina, está luchando contra la extinción",0,3,1,2,1,0,2,5,23,0,13.04,4.35,8.7,4.35,0,8.7,21.74
id_200,emol,Bioclimate Tech Summit 2026: Valdivia se prepara para ser el centro de la biotecnología aplicada al cambio climático,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
id_201,emol,Clima extremo en 2025: Las olas de calor fueron los eventos meteorológicos que más muertes causaron en el año,0,1,0,0,2,0,1,3,17,0,5.88,0,0,11.76,0,5.88,17.65
id_202,emol,Declaran Aculeo como Humedal Urbano: Revisa qué implica la medida para la laguna que se había secado en 2018,0,0,1,2,0,2,0,0,10,0,0,10,20,0,20,0,0
id_203,emol,Diez años del Acuerdo de París: En qué consiste y cuál es el balance del pacto para frenar el cambio climático,0,1,0,0,0,0,0,2,15,0,6.67,0,0,0,0,0,13.33
id_204,emol,Problemas hepáticos y gastrointestinales o dermatitis: Los riesgos para la salud que tiene el agua del lago Vichuquén,0,0,0,0,1,0,0,1,16,0,0,0,0,6.25,0,0,6.25
id_205,emol,Tres ciclones y escasa planificación urbana: Claves de las inundaciones que han dejado más de 1.300 muertos en Asia,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
id_206,emol,Suiza rechaza en referéndum un impuesto del 50% a las grandes fortunas para combatir el cambio climático,1,0,1,1,0,1,0,1,15,6.67,0,6.67,6.67,0,6.67,0,6.67
id_207,emol,"COP30: Estudio ubica a Chile, Colombia y Brasil como los líderes climáticos de Latinoamérica",0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,12.5
id_208,emol,Entre la supervivencia y el éxodo climático: ¿Qué se juegan las islas del Pacífico en la COP30?,5,0,1,3,0,1,0,1,16,31.25,0,6.25,18.75,0,6.25,0,6.25
id_209,emol,Desplazados por desastres climáticos: Estudio revela que hubo más de 67.000 diarios en la última década,0,0,0,0,1,0,0,0,14,0,0,0,0,7.14,0,0,0
id_21,bbcl,Ante calor extremo: qué medidas deberías adoptar en tu trabajo para evitar un daño en la salud,0,3,0,1,1,0,1,3,47,0,6.38,0,2.13,2.13,0,2.13,6.38
id_210,emol,Arranca la COP30 en la Amazonía brasileña: Lula llama a &quot;imponer una nueva derrota a los negacionistas&quot;,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
id_211,emol,"COP30: Claves para entender qué es, quiénes participan y por qué es importante para el cambio climático",0,2,0,0,1,1,2,3,14,0,14.29,0,0,7.14,7.14,14.29,21.43
id_212,emol,"Alza de temperatura mundial se modera en 2025, pero sigue cerca del umbral de 1,5°C",0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
id_213,emol,Percepciones sobre la COP30: 51% de los chilenos cree que será simbólica y no efectiva,0,1,0,0,0,0,1,0,14,0,7.14,0,0,0,0,7.14,0
id_214,emol,El giro discursivo de Bill Gates: &quot;El cambio climático no conducirá a la desaparición de la humanidad&quot;,0,1,0,0,1,0,0,0,19,0,5.26,0,0,5.26,0,0,0
id_215,emol,China experimenta un &quot;boom&quot; de juicios ambientales: Casos son impulsados por fiscales y no por activistas,0,0,0,3,0,0,0,0,14,0,0,0,21.43,0,0,0,0
id_216,emol,Chile reclasifica el estado de conservación del pingüino de Humboldt: Pasó de &quot;vulnerable&quot; a &quot;en peligro&quot;,1,1,1,2,0,1,1,0,13,7.69,7.69,7.69,15.38,0,7.69,7.69,0
id_217,emol,El desarrollo de estructuras metaorgánicas concede el Nobel de Química: ¿Por qué son tan importantes?,4,1,0,3,1,1,1,1,16,25,6.25,0,18.75,6.25,6.25,6.25,6.25
id_218,emol,Promete esforzarse &quot;por hacerlo mejor&quot;: China presenta su primer plan climático con metas absolutas,0,1,0,2,0,0,0,0,8,0,12.5,0,25,0,0,0,0
id_219,emol,Boric niega haber personalizado en Trump crítica de mentir sobre el cambio climático: &quot;Lo ha dicho también&quot; Milei,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
id_22,bbcl,Un millonario proyecto de amoníaco verde en Mejillones queda listo para su aprobación final,0,0,0,0,2,0,0,4,44,0,0,0,0,4.55,0,0,9.09
id_220,emol,Trump critica a la ONU en Asamblea General y asegura que reconocer a Palestina es una &quot;recompensa&quot; para Hamás,0,1,0,1,0,0,0,0,11,0,9.09,0,9.09,0,0,0,0
id_221,emol,"La lucha contra el aumento del nivel del mar de los habitantes de Pugad, la isla filipina en vías de desaparición",0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
id_222,emol,Entre 6 y 18 millones de jóvenes latinoamericanos caerán en la pobreza para 2030 a causa del cambio climático,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
id_223,emol,La propagación de información falsa ya es percibida como una las mayores amenazas globales,3,1,1,4,1,1,1,5,17,17.65,5.88,5.88,23.53,5.88,5.88,5.88,29.41
id_224,emol,Científicos alertan que la Antártica está en fase crítica de cambios por el clima: &quot;Tendrá efectos para generaciones futuras&quot;,0,1,0,0,1,0,1,3,15,0,6.67,0,0,6.67,0,6.67,20
id_225,emol,Declaran al Estero Reñaca en Viña del Mar como humedal urbano: Ya son 134 en el país,4,0,0,3,0,1,0,0,5,80,0,0,60,0,20,0,0
id_226,emol,Ola de calor en Europa: Reportan un muerto en un incendio en España y una histórica sequía en Inglaterra,0,1,0,1,0,0,1,0,9,0,11.11,0,11.11,0,0,11.11,0
id_227,emol,Retroceso de un glaciar deja al descubierto los restos de un británico que cayó en una grieta en la Antártica hace 66 años,1,0,0,2,0,2,1,0,7,14.29,0,0,28.57,0,28.57,14.29,0
id_228,emol,Deshielo de un glaciar en Pakistán deja al descubierto el cuerpo de un hombre desaparecido hace 28 años: Estaba intacto,0,0,1,1,0,0,0,3,16,0,0,6.25,6.25,0,0,0,18.75
id_229,emol,Fotos y video | Repentina riada deja al menos cuatro muertos y 100 desaparecidos en el Himalaya indio,0,0,0,1,0,0,0,0,16,0,0,0,6.25,0,0,0,0
id_23,bbcl,Con nueva estrategia: aumenta a más del doble los recursos para el combate de incendios forestales,3,2,1,2,1,0,2,4,48,6.25,4.17,2.08,4.17,2.08,0,4.17,8.33
id_230,emol,Histórico: Corte de La Haya afirma que incumplir la &quot;obligación&quot; de luchar contra el cambio climático es un &quot;acto ilícito&quot;,1,2,1,3,0,1,0,2,13,7.69,15.38,7.69,23.08,0,7.69,0,15.38
id_231,emol,Expectación en La Haya: CIJ emitirá opinión consultiva sobre el cambio climático que fijará un marco jurídico mundial,0,1,1,1,0,1,0,1,9,0,11.11,11.11,11.11,0,11.11,0,11.11
id_232,emol,Estudio advierte que el deshielo de los glaciares podría provocar erupciones volcánicas más explosivas a nivel mundial,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
id_233,emol,Desde Perú hasta la India: Patrimonios de la Unesco se encuentran en riesgo por sequías o inundaciones,0,2,0,1,2,0,1,2,16,0,12.5,0,6.25,12.5,0,6.25,12.5
id_234,emol,Se quedaron sin oxígeno: Ola de calor provoca la muerte de todos los peces de un gran lago en República Checa,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
