"id","Título","Reseña","genero","ave_sentiment","anger","anticipation","disgust","fear","joy","sadness","surprise","trust"
"id_109","Cult of Chucky","Confinada en un manicomio para criminales dementes, Nica Pierce está convencida de que ella, y no Chucky, asesinó a toda su familia. Pero cuando el psiquiatra le presenta un nuevo muñeco terapéutico ""Good Guy"" con un rostro familiar, una serie de nuevas y espeluznantes muertes hacen que Nica se pregunte si no estará realmente loca.","Horror",-0.817987334231302,0,0,0,0,0,0,0,2
"id_11","Taylor Tomlinson: Look at You","Rupturas amorosas. Terapia. Flequillos. Taylor ha pasado por muchas cosas desde su crisis de los veintitantos, y transforma su experiencia con la salud mental en una comedia perspicaz.","Comedia",-0.28123891658602,0,0,0,0,0,1,0,0
"id_110","Extremely Wicked, Shockingly Evil and Vile","Una crónica de los crímenes de Ted Bundy, desde la perspectiva de su novia de toda la vida, Elizabeth Kloepfer, quien se negó a creer la verdad sobre él durante años.","Delito",-0.179605302026775,0,1,0,0,1,0,0,2
"id_111","Act of Valor","Cuando una misión encubierta para rescatar a un agente de la CIA secuestrado descubre una trama escalofriante, un equipo de élite de los SEAL estadounidenses, altamente entrenado, se dirige a toda velocidad a puntos conflictivos de todo el mundo, en una carrera contrarreloj para detener un ataque terrorista mortal.","Acción",-2.14285714285714,3,1,2,4,0,3,1,1
"id_112","Starship Troopers: Traitor of Mars","Al soldado de la Federación Johnny Rico se le ordena trabajar con un grupo de nuevos reclutas en una estación satelital en Marte, donde unos insectos gigantes han decidido planear su próximo ataque.","Acción",0.174077655955698,2,0,0,1,0,1,0,1
"id_113","To Wong Foo, Thanks for Everything! Julie Newmar","Tres drag queens neoyorquinas que se dirigían a Hollywood para un concurso de belleza quedan varadas en un pequeño pueblo del Medio Oeste durante todo el fin de semana cuando su coche se avería. Mientras esperan las piezas para su Cadillac descapotable, el extravagante trío les demuestra a los lugareños homófobos que ser diferente no significa que no compartan la misma humanidad.","Comedia",0,0,0,0,0,2,0,0,1
"id_114","For the Love of Spock","La vida del Sr. Spock de Star Trek, así como la de Leonard Nimoy, el actor que interpretó al Sr. Spock durante casi cincuenta años, escrita y dirigida por su hijo, Adam.","Documental",0,0,0,0,0,0,0,0,0
"id_115","Arn: The Knight Templar","Arn, hijo de un noble sueco de alto rango, es educado en un monasterio y enviado a Tierra Santa como caballero templario para hacer penitencia por un amor prohibido.","Acción",0.557086014531156,2,0,2,3,1,1,0,1
"id_116","The Driver","El Conductor se especializa en conducir coches de fuga para robos. Su excepcional talento le ha impedido ser capturado hasta ahora. Tras otra fuga exitosa de la policía, un detective muy seguro de sí mismo se propone como objetivo principal atrapar al Conductor. Promete indultos a una banda si lo ayudan a condenarlo por un robo con trampa. El Conductor busca la ayuda del Jugador para despistar al detective.","Acción",-0.273933986372878,2,2,2,2,2,3,2,3
"id_117","The Last Letter From Your Lover","Una joven periodista londinense se obsesiona con una serie de cartas que descubre y que relatan una intensa historia de amor trágica de los años 60.","Drama",0,0,1,0,0,2,0,1,1
"id_118","The Adam Project","Tras un aterrizaje forzoso accidental en 2022, el piloto de combate Adam Reed, que viaja en el tiempo, se une a su yo de 12 años en una misión para salvar el futuro.","Ciencia ficción",-0.35921060405355,1,1,0,2,0,0,1,1
"id_119","A Good Man","Tras una brillante carrera en operaciones especiales que termina en desastre, Alexander desaparece del mapa e intenta llevar una vida tranquila como conserje en un complejo de apartamentos. Pero cuando una de sus inquilinas y su familia caen bajo el yugo de un gánster ruso, Alexander se ve envuelto en una guerra sin cuartel entre bandas rivales chinas y rusas; lo que lo obliga no solo a defender a la familia, sino que también lo enfrenta a un viejo enemigo y le brinda una última oportunidad para reconciliarse con su pasado.","Acción",-0.220000049160053,3,3,3,5,1,3,2,1
"id_12","Road to Perdition","Mike Sullivan trabaja como sicario para el jefe criminal John Rooney. Sullivan ve a Rooney como una figura paterna; sin embargo, después de que su hijo presencia un asesinato, Mike Sullivan se ve obligado a huir para intentar salvar la vida de su hijo y, al mismo tiempo, buscar venganza contra quienes le hicieron daño.","Delito",-0.904534033733291,3,3,2,4,0,3,2,1
"id_120","The Double Life of Véronique","Véronique es una hermosa joven francesa que aspira a ser una cantante famosa; Weronika vive en Polonia, tiene una meta profesional similar y es idéntica a Véronique, aunque no son parientes. La película sigue a ambas mujeres mientras lidian con los altibajos de sus vidas, y Véronique se embarca en un romance inusual con Alexandre Fabbri, un titiritero que podría ayudarla con sus problemas existenciales.","Drama",0.294024474250147,0,1,0,0,2,0,1,1
"id_121","Beautiful Creatures","Ethan Wate solo quiere conocer mejor a Lena Duchannes, pero sin que él lo sepa, Lena posee extraños poderes. A medida que se acerca su decimosexto cumpleaños, Lena podría decidir su destino: ser buena o mala. Una elección que marcará su relación para siempre.","Fantasía",-0.156815900333031,0,1,0,1,1,1,1,0
"id_122","The Secret World of Arrietty","Arrietty, de 14 años, y el resto de la familia Clock viven en un anonimato tranquilo, construyendo su hogar con objetos ""prestados"" de los habitantes humanos de la casa. Sin embargo, la vida de los Clock cambia cuando un niño humano descubre a Arrietty.","Fantasía",0.20625004608755,0,0,0,0,1,1,0,0
"id_123","Starship Troopers: Invasion","El puesto avanzado de la Federación, Fort Casey, sufre un ataque de insectos. El equipo de la nave de ataque rápido Alesia recibe la misión de ayudar a la nave estelar John A. Warden, estacionada en Fort Casey, a evacuar junto con los supervivientes y traer de vuelta a la Tierra información militar de forma segura. Carl Jenkins, ahora ministro de Guerra Paranormal, emprende una misión clandestina con la nave estelar antes de su encuentro con la Alesia y desaparece en la nebulosa. Ahora, estos soldados curtidos en la batalla se ven obligados a emprender una misión de rescate que podría tener consecuencias mucho más siniestras de lo que jamás hubieran imaginado.","Animación",-1.98189205282789,5,1,1,6,1,1,1,3
"id_124","Pippi Longstocking","Pippi Calzaslargas, una niña pelirroja superfuerte, se muda a la casa de campo de su padre, Villa Villekulla, y vive aventuras con sus vecinos Tommy y Annika en esta película recopilatoria de la clásica serie de televisión sueca.","Aventura",0.324442842261525,0,1,0,0,0,0,0,2
"id_125","Little Nicky","Tras la decisión del señor de la oscuridad de no ceder su trono a ninguno de sus tres hijos, los dos más poderosos escapan a la Tierra para fundar un reino. Esta acción cierra el portal que transporta las almas pecadoras al Infierno y provoca la desaparición de Satanás. Por ello, debe enviar a su hijo más débil, pero a la vez más querido, el pequeño Nicky, a la Tierra para que devuelva a sus hermanos al Infierno.","Comedia",-1.89484433178374,3,0,2,3,2,3,0,3
"id_126","Serial (Bad) Weddings 2","Claude y Marie Verneuil se enfrentan a una nueva crisis. Los cuatro cónyuges de sus hijas, David, Rachid, Chao y Charles, han decidido abandonar Francia por diversos motivos. Aquí se imaginan cómo serán sus vidas en otro lugar.","Comedia",-0.501345256768461,0,0,0,1,0,2,0,0
"id_127","Herbie Fully Loaded","Maggie Peyton, la nueva propietaria del número 53, un Volkswagen Beetle con personalidad propia, pone a prueba el coche en su camino para convertirse en un competidor de NASCAR.","Comedia",0,0,0,0,0,0,0,0,1
"id_128","Face/Off","Sean Archer, un agente del FBI muy duro y curtido, aún llora la muerte de su hijo Michael. Archer cree que el asesino de su hijo es su archienemigo, un criminal muy poderoso: Castor Troy. Un día, Archer finalmente acorrala a Castor, pero la pelea lo deja inconsciente. Justo cuando Archer respira tranquilo tras la captura de su enemigo, descubre que Troy ha colocado una bomba que destruirá toda la ciudad de Los Ángeles y a todos sus habitantes. Desafortunadamente, la única otra persona que conoce su ubicación es el hermano de Castor, Pollux, quien se niega a hablar. La solución: un médico especializado en cirugías estéticas que puede cortar rostros y trasplantarlos a otra persona. Archer se somete a una de estas operaciones para hablar con Pollux. Sin embargo, Castor Troy recupera la conciencia y ahora busca venganza contra Archer por haberle cortado el rostro. Troy no solo está arruinando la misión de Archer, sino también su vida personal. Archer debe detener a Troy una vez más. Esta vez, es algo personal.","Acción",-2.57304877489613,10,4,6,9,3,9,7,6
"id_129","Let's Be Cops","Es la típica película de policías colegas, salvo por un detalle: no son policías. Dos amigos con problemas económicos se disfrazan de policías para una fiesta de disfraces y se convierten en la sensación del barrio. Pero cuando estos nuevos ""héroes"" se ven envueltos en una red de mafiosos y detectives corruptos, deberán arriesgar sus falsas insignias.","Comedia",-0.492780462284165,0,2,0,0,1,0,1,1
"id_13","The Little Mermaid","Una joven sirena hace un pacto con una bruja marina: intercambia su hermosa voz por piernas humanas para poder descubrir el mundo sobre el agua.","Aventura",0.6,1,1,1,2,2,0,2,2
"id_130","Return of the Living Dead: Rave to the Grave","Un estudiante universitario crea y vende en el campus una droga llamada 'Z' que resucita a los muertos vivientes, quienes siembran el caos en una fiesta rave de Halloween.","Horror",-0.371390676354104,1,1,0,1,1,1,1,1
"id_131","Sahara","Para un aventurero submarino intrépido y su ingenioso compañero, explorar las profundidades del océano en busca de tesoros naufragados es algo habitual. Pero cuando se cruzan con una bella doctora, se ven inmersos en la búsqueda del tesoro definitiva.","Acción",0.882137774103164,0,4,0,0,3,0,0,2
"id_132","Hotel Transylvania: Puppy!","Los residentes del Hotel Transylvania ven su mundo patas arriba cuando el joven Dennis recibe una mascota sorpresa de tamaño monstruoso.","Familia",0,0,1,1,2,2,0,3,0
"id_133","Skiptrace","Un detective de Hong Kong se une a un jugador estadounidense para luchar contra un conocido criminal chino.","Acción",-0.942809041582063,1,1,1,1,0,0,1,0
"id_134","Case Closed: Countdown to Heaven","Mientras dos rascacielos en Tokio se preparan para su gran inauguración, se produce una serie de asesinatos de personas relacionadas con ellos. Conan sospecha que el misterioso Sindicato también podría estar involucrado.","Delito",-0.687542365380867,0,1,0,2,0,0,1,1
"id_135","Going in Style","Desesperados por pagar las facturas y ayudar a sus seres queridos, tres amigos de toda la vida lo arriesgan todo embarcándose en un audaz plan para atracar al mismo banco que se fugó con su dinero.","Delito",0.5,2,3,0,0,2,0,1,4
"id_136","John Wick: Chapter 3 - Parabellum","El superasesino John Wick regresa con una recompensa de 14 millones de dólares por su cabeza y un ejército de sicarios pisándole los talones. Tras asesinar a un miembro de la misteriosa organización internacional de asesinos, la Alta Mesa, John Wick es excomulgado, pero los sicarios más despiadados del mundo lo acechan a cada paso.","Acción",-2.32392034452045,1,1,0,1,1,0,1,1
"id_137","The Golden Child","Tras el secuestro de un niño tibetano, el místico Niño Dorado, por el malvado Sardo Numspa, el destino de la humanidad pende de un hilo. Al otro lado del mundo, en Los Ángeles, la sacerdotisa Kee Nang busca al Elegido, quien salvará al niño de la muerte. Cuando Nang ve al trabajador social Chandler Jarrell en televisión hablando sobre su habilidad para encontrar niños desaparecidos, solicita su ayuda, a pesar del escepticismo de este sobre ser el ""elegido"".","Acción",-0.34583809899658,1,2,1,4,2,3,3,1
"id_138","Son of Batman","Batman descubre que tiene un hijo preadolescente violento e indisciplinado, criado en secreto por el grupo terrorista conocido como la Liga de los Asesinos.","Animación",-1.02062072615966,2,0,2,2,0,1,3,2
"id_139","Leap Year","Cuando pasa otro aniversario sin que su novio le proponga matrimonio, Anna decide tomar cartas en el asunto. Conociendo una tradición celta que permite a las mujeres pedir matrimonio el 29 de febrero, planea seguir a su amado a Dublín y pedirle que se case con ella. Sin embargo, el destino tiene otros planes, y Anna termina al otro lado de la Isla Esmeralda con el apuesto, aunque hosco, Declan, un irlandés que tal vez la guíe hacia el verdadero amor.","romance",-0.00512717014036675,1,4,1,1,6,3,2,3
"id_14","The Debt","Rachel Singer es una exagente del Mossad que intentó capturar a un notorio criminal de guerra nazi, el Cirujano de Birkenau, en una misión secreta israelí que terminó con su muerte en las calles de Berlín Oriental. Ahora, 30 años después, un hombre que afirma ser el doctor ha reaparecido, y Rachel debe regresar a Europa del Este para descubrir la verdad. Abrumada por los recuerdos traumáticos de su juventud y de sus dos compañeros agentes, la aún aclamada heroína debe revivir el trauma de aquellos sucesos y afrontar la deuda que ha contraído.","Drama",-0.905545285307756,4,2,2,4,1,3,3,1
"id_140","The Karate Kid","Tras algunos enfrentamientos violentos con sus nuevos compañeros de clase, Daniel LaRusso aprende kárate del manitas japonés Sr. Miyagi para poder defenderse.","Acción",-0.385858504232973,0,0,0,0,1,0,0,1
"id_141","At Eternity's Gate","El célebre pero atormentado artista Vincent van Gogh pasó sus últimos años en Arles, Francia, pintando obras maestras del mundo natural que lo rodeaba.","Drama",0.816496580927726,0,0,0,0,0,0,0,0
"id_142","Jurassic Galaxy","En un futuro cercano, una nave de exploradores espaciales se estrella en un planeta desconocido. Pronto se enfrentan a algunos de sus peores temores al descubrir que el planeta está habitado por monstruosos dinosaurios.","Ciencia ficción",-0.37556708947238,0,2,0,1,1,0,1,1
"id_143","Stuart Little","Las aventuras de un ratón valiente, heroico y elegante llamado Stuart Little, con cualidades humanas, que se enfrenta a divertidas desventuras mientras busca a su amigo pájaro perdido y vive con una familia humana como si fuera su hijo.","Familia",1.2810252304407,0,2,0,1,3,1,1,2
"id_144","Kung Fu Panda: Secrets of the Scroll","Mientras Po busca sus figuras de acción perdidas, se narra la historia de cómo el panda, sin quererlo, ayudó a crear a los Cinco Furiosos.","Animación",-1,0,0,0,0,1,0,0,0
"id_145","Jarhead 2: Field of Fire","Marcado por la guerra y desilusionado, el cabo Chris Merrimette queda al mando de una unidad cuya próxima misión es reabastecer un puesto de avanzada remoto en los límites del territorio controlado por los talibanes. Mientras atraviesan la hostil provincia de Helmand, un SEAL de la Armada detiene su convoy y recluta a la unidad para una operación de importancia internacional: deben ayudar a una mujer afgana, famosa por su desafío a los talibanes, a escapar del país. Sin tanques ni apoyo aéreo, Merrimette y su equipo necesitarán todo el coraje y la potencia de fuego que puedan reunir para abrirse paso a través del país devastado por la guerra y llevar a la mujer a un lugar seguro.","Guerra",-0.805357923705224,4,1,2,4,1,3,0,6
"id_146","The Wolverine","Wolverine se enfrenta a su archienemigo, y pone a prueba sus límites físicos, emocionales y mortales, en un viaje que le cambiará la vida al Japón actual.","Acción",-1.15470053837925,0,1,0,1,1,0,1,1
"id_147","My Neighbor Totoro","Dos hermanas se mudan al campo con su padre para estar más cerca de su madre, que está hospitalizada, y descubren que los árboles de los alrededores están habitados por Totoros, espíritus mágicos del bosque. Cuando la menor se escapa de casa, la mayor pide ayuda a los espíritus para encontrarla.","Fantasía",0.545686329843267,0,1,1,0,1,1,0,2
"id_148","Harry Potter and the Goblet of Fire","Cuando el nombre de Harry Potter emerge del Cáliz de Fuego, se convierte en competidor en una extenuante batalla por la gloria entre tres escuelas de magia: el Torneo de los Tres Magos. Pero como Harry nunca presentó su nombre para el Torneo, ¿quién lo hizo? Ahora Harry debe enfrentarse a un dragón mortal, feroces demonios acuáticos y un laberinto encantado, solo para encontrarse en las crueles garras de Quien No Debe Ser Nombrado.","Aventura",-0.234922733085709,4,2,1,3,2,1,0,2
"id_149","Re-Animator","Un estudiante aplicado de una facultad de medicina y su novia se ven envueltos en experimentos extraños centrados en la reanimación de tejido muerto cuando un nuevo y peculiar estudiante llega al campus.","Ciencia ficción",-0.174077655955698,0,1,0,0,1,0,0,2
"id_15","Snatch","Promotores de boxeo sin escrúpulos, corredores de apuestas violentos, un gánster ruso, ladrones aficionados incompetentes y joyeros supuestamente judíos luchan por encontrar un diamante robado de valor incalculable.","Delito",-0.453557367611073,2,1,0,0,1,0,0,1
"id_150","¡Qué Despadre!","Pedro es un soltero de cuarenta y tantos años al que le gusta la fiesta, no tiene hijos y vive de noche. Todo cambia cuando conoce a Alin. Ella le comenta que está buscando a su padre y que hay muchas probabilidades de que sea él.","Comedia",0,0,1,0,0,1,0,1,2
"id_151","Once Upon a Time in Mexico","El sicario ""El Mariachi"" se ve envuelto en una trama de espionaje internacional que involucra a un agente psicótico de la CIA y a un general mexicano corrupto.","Acción",-0.377964473009227,0,0,0,0,0,0,0,1
"id_152","Tall Girl","Jodi, la chica más alta de su instituto, siempre se ha sentido incómoda consigo misma. Pero después de años de encorvarse, sufrir burlas y evitar llamar la atención a toda costa, Jodi finalmente decide encontrar la confianza para mantenerse erguida.","Comedia",-1.07090055512642,2,1,1,3,2,1,1,3
"id_153","Red Rocket","En una situación desesperada en Los Ángeles, el ex actor porno Mikey Saber decide regresar a su ciudad natal, Texas City, donde viven su esposa y su suegra, de quien está separado. Justo cuando esta familia disfuncional parece estar recomponiéndose, Mikey conoce a una joven llamada Strawberry que trabaja como cajera en una tienda de donas local.","Comedia",-1.21421356237309,0,2,0,0,1,0,1,0
"id_154","Clash of the Titans","Nacido como un dios pero criado como un hombre, Perseo es incapaz de salvar a su familia de Hades, el vengativo dios del inframundo. Sin nada que perder, Perseo se ofrece voluntario para liderar una peligrosa misión: derrotar a Hades antes de que este pueda arrebatarle el poder a Zeus y desatar el infierno en la Tierra. Luchando contra demonios impíos y bestias temibles, Perseo y sus guerreros solo sobrevivirán si Perseo acepta su poder divino, desafía al destino y forja su propio futuro.","Aventura",-0.775950536568603,3,4,3,7,5,5,2,4
"id_155","Cop Out","Los detectives Jimmy y Paul, a pesar de llevar nueve años trabajando juntos, a veces parecen polos opuestos, sobre todo cuando las impredecibles payasadas de Paul provocan que los suspendan sin sueldo. Con problemas económicos y tratando de pagar la boda de su hija, Jimmy decide vender una tarjeta de béisbol rara que vale decenas de miles de dólares. Desafortunadamente, cuando roban la tienda del coleccionista y la tarjeta desaparece con el ladrón, Paul y Jimmy terminan actuando por su cuenta, rastreando la tarjeta y la red de narcotráfico detrás del robo, todo por su cuenta y sin ningún tipo de apoyo, excepto el uno del otro.","Acción",-0.164322279280333,2,3,1,1,2,1,0,5
"id_156","Seven Days in May","Un coronel del ejército estadounidense alerta al presidente sobre un golpe militar planeado en su contra.","Drama",-0.75,1,0,0,2,0,0,1,2
"id_157","Cold Eyes","HA Yoon-ju se convierte en la nueva integrante de una unidad del Departamento de Delitos Especiales de la Policía de Corea, especializada en la vigilancia de criminales de alto perfil. Se une a HWANG Sang-Jun, el veterano líder de la unidad, e intenta localizar a James, el despiadado líder de una organización criminal armada.","Delito",-0.738815906080325,2,2,2,3,0,0,1,4
"id_158","The Conquest of Siberia","Iván Demarin, un joven oficial de la nueva guardia de Pedro I, obedece las órdenes del zar y se dirige a la ciudad fronteriza de Tobolsk, en lo profundo de la selva siberiana. Allí, Iván se enamora por primera vez y, junto con su regimiento, se ve envuelto en una conspiración de príncipes locales que buscan oro en la ciudad de Yarkand. Su fortaleza está rodeada por hordas de salvajes dzungaros y no hay nadie a quien pedir ayuda…","Historia",-0.302363782520939,0,1,0,4,2,1,1,3
"id_159","Kill Bill: The Whole Bloody Affair","Una asesina es baleada y casi asesinada por su despiadado jefe, Bill, y otros miembros de su grupo de sicarios, pero sobrevive para planear su venganza. Kill Bill: The Whole Bloody Affair es una edición completa de las dos películas de acción y artes marciales Kill Bill: Vol. 1 y Kill Bill: Vol. 2. Originalmente, la película iba a estrenarse como una sola parte. Sin embargo, debido a su duración de más de cuatro horas, se dividió en dos partes.","Acción",-0.487489116756466,2,1,1,2,0,1,1,0
"id_16","Star Trek: Insurrection","Cuando una raza alienígena y facciones dentro de la Flota Estelar intentan apoderarse de un planeta con propiedades ""regenerativas"", recae sobre el Capitán Picard y la tripulación del Enterprise la responsabilidad de defender a los habitantes del planeta, así como los ideales sobre los que se fundó la propia Federación.","Ciencia ficción",0,0,0,0,1,0,0,0,1
"id_160","P.S. I Love You","Una joven viuda descubre que su difunto esposo le ha dejado 10 mensajes destinados a ayudarla a aliviar su dolor y comenzar una nueva vida.","Drama",-0.612372435695795,0,1,1,1,1,3,1,0
"id_161","The Porno Killers","Un negocio internacional de drogas sale mal, y dos sicarias neoyorquinas son enviadas a Roma, Italia, para recuperar el dinero desaparecido. Incluso antes de partir, las chicas (Carmen Russo y Cintia Lodetti) tienen una fiesta junto a la piscina con dos jóvenes, y al llegar a su hotel en Roma, comparten una ducha y un momento íntimo. En la playa, cruzan miradas con dos gigolós italianos, y luego usan técnicas de judo y lucha libre para dominarlos e imponer su supremacía feminista. Finalmente, estarán cerca del dinero, pero su misión se facilita porque los hombres más importantes se pelean entre sí por él (Vassili Karis y Mario Cutini).","Delito",-0.333856135979598,4,5,2,3,5,3,5,4
"id_162","One Crazy Summer: A Look Back at Gravity Falls","Un vistazo entre bastidores a la creación de Gravity Falls, con entrevistas a numerosos miembros del reparto y del equipo técnico.","Documental",0,0,0,0,0,0,0,0,1
"id_163","Flags of Our Fathers","Cinco infantes de marina y un médico de la Armada fueron fotografiados izando la bandera estadounidense en el monte Suribachi por Joe Rosenthal el 23 de febrero de 1945. Esta es la historia de tres de los seis militares supervivientes —John 'Doc' Bradley, el soldado raso Rene Gagnon y el soldado raso Ira Hayes— que lucharon en la batalla para arrebatar Iwo Jima a los japoneses.","Guerra",-0.0897102800126103,4,0,0,1,0,2,0,1
"id_164","Oslo","La verdadera historia de las negociaciones entre enemigos implacables: las conversaciones secretas a través de canales alternativos, las improbables amistades y los actos heroicos y silenciosos de un pequeño pero comprometido grupo de israelíes, palestinos y una pareja noruega que condujeron a los Acuerdos de Paz de Oslo de 1993.","Película para televisión",0.321857142857143,0,1,0,0,1,0,0,2
"id_165","Your Name.","Mitsuha y Taki, estudiantes de secundaria, son completos desconocidos que viven vidas separadas. Pero una noche, de repente, intercambian cuerpos. Mitsuha despierta en el cuerpo de Taki, y él en el de ella. Este extraño suceso se repite de forma aleatoria, y ambos deben adaptar sus vidas a la convivencia.","romance",-0.222774417797656,0,0,0,0,0,0,0,0
"id_166","Monster Hunt 2","La secuela de Monster Hunt. Ambientada en un mundo donde monstruos y humanos coexisten, la franquicia narra la historia de Wuba, un pequeño monstruo nacido para ser rey. Wuba se convierte en la figura central para detener una guerra civil total entre monstruos.","Aventura",-0.504258493989713,1,0,0,2,0,1,0,0
"id_167","The Red Thread","Siete años después de su primer encuentro apasionado, Abril y Manuel se reencuentran. A pesar de que ambos están casados, pronto se hace evidente que su atracción no ha hecho más que crecer.","Drama",-0.617077092887301,0,2,0,0,2,0,0,4
"id_168","Assassins","El asesino a sueldo Robert Rath llega a un funeral para matar a un importante mafioso, solo para presenciar cómo un sicario rival completa el trabajo por él, con resultados espantosos. Horrorizado por el asesinato de inocentes, Rath decide aceptar un último encargo y luego regresar a la vida civil. Pero salir del mundo de los asesinatos por encargo se vuelve cada vez más peligroso cuando Rath se enamora de su objetivo y se convierte él mismo en un hombre marcado.","Acción",-1.10078076455804,3,4,2,4,1,6,3,3
"id_169","Me, Myself & Irene","El agente de la policía estatal de Rhode Island, Charlie Baileygates, padece un trastorno de personalidad múltiple. Una de sus personalidades es agresiva y desquiciada, mientras que la otra es más amigable y tranquila. Ambas personalidades se enamoran de la misma mujer, Irene, después de que Charlie pierde su medicación.","Comedia",-1.31529631254723,0,0,0,1,0,0,0,0
"id_17","Welcome to the Jungle","Un retiro de empresa en una isla tropical sale terriblemente mal.","Comedia",-1.80906806746658,1,1,1,1,0,2,0,0
"id_170","Lion","Un niño indio de cinco años se pierde en las calles de Calcuta, a miles de kilómetros de su hogar. Sobrevive a numerosas dificultades antes de ser adoptado por una pareja en Australia; 25 años después, emprende la búsqueda de su familia perdida.","Drama",-0.442010554802774,0,0,0,0,0,1,0,0
"id_171","Fantastic Beasts: The Crimes of Grindelwald","Gellert Grindelwald ha escapado de prisión y ha comenzado a reunir seguidores para su causa: elevar a los magos por encima de todos los seres no mágicos. El único capaz de detenerlo es el mago al que una vez llamó su mejor amigo, Albus Dumbledore. Sin embargo, Dumbledore necesitará la ayuda del mago que ya frustró los planes de Grindelwald en el pasado, su antiguo alumno Newt Scamander, quien acepta ayudarlo, sin ser consciente de los peligros que le aguardan. Se trazan líneas divisorias mientras el amor y la lealtad se ponen a prueba, incluso entre los amigos y familiares más fieles, en un mundo mágico cada vez más dividido.","Aventura",0.0330768086742665,0,4,0,3,2,0,2,3
"id_172","Dunkirk","La historia de la milagrosa evacuación de los soldados aliados de Bélgica, Gran Bretaña, Canadá y Francia, que quedaron aislados y rodeados por el ejército alemán en las playas y el puerto de Dunkerque entre el 26 de mayo y el 4 de junio de 1940 durante la Segunda Guerra Mundial.","Guerra",-0.433012701892219,1,0,0,1,0,1,0,1
"id_173","Cyborg She","Cyborg She narra el incipiente romance entre un estudiante universitario común y corriente y su descarada enamorada, una cyborg viajera del tiempo con superpoderes. Un día, una hermosa cyborg aparece ante él. Aunque la cyborg empieza a sentir algo por él, no puede experimentar emociones reales, así que el chico no tiene más remedio que despedirse. Extrañándola, continúa su solitaria existencia. Un día, un devastador terremoto azota Tokio y la cyborg le salva la vida. En ese instante, ella comienza a sentir como un ser humano de verdad.","Acción",-0.212479122828536,2,2,1,2,2,2,1,3
"id_174","John Carter","John Carter es un excapitán militar, hastiado de la guerra, que es transportado inexplicablemente al misterioso y exótico planeta Barsoom (Marte) y, a su pesar, se ve envuelto en un conflicto épico. Es un mundo al borde del colapso, y Carter redescubre su humanidad cuando comprende que la supervivencia de Barsoom y su gente está en sus manos.","Acción",-0.726446221028095,2,2,1,6,1,3,1,1
