Título,Reseña,Género,id
Taylor Tomlinson: Look at You,"Rupturas amorosas. Terapia. Flequillos. Taylor ha pasado por muchas cosas desde su crisis de los veintitantos, y transforma su experiencia con la salud mental en una comedia perspicaz.",Comedia,id_11
Road to Perdition,"Mike Sullivan trabaja como sicario para el jefe criminal John Rooney. Sullivan ve a Rooney como una figura paterna; sin embargo, después de que su hijo presencia un asesinato, Mike Sullivan se ve obligado a huir para intentar salvar la vida de su hijo y, al mismo tiempo, buscar venganza contra quienes le hicieron daño.",Delito,id_12
The Little Mermaid,Una joven sirena hace un pacto con una bruja marina: intercambia su hermosa voz por piernas humanas para poder descubrir el mundo sobre el agua.,Aventura,id_13
The Debt,"Rachel Singer es una exagente del Mossad que intentó capturar a un notorio criminal de guerra nazi, el Cirujano de Birkenau, en una misión secreta israelí que terminó con su muerte en las calles de Berlín Oriental. Ahora, 30 años después, un hombre que afirma ser el doctor ha reaparecido, y Rachel debe regresar a Europa del Este para descubrir la verdad. Abrumada por los recuerdos traumáticos de su juventud y de sus dos compañeros agentes, la aún aclamada heroína debe revivir el trauma de aquellos sucesos y afrontar la deuda que ha contraído.",Drama,id_14
Snatch,"Promotores de boxeo sin escrúpulos, corredores de apuestas violentos, un gánster ruso, ladrones aficionados incompetentes y joyeros supuestamente judíos luchan por encontrar un diamante robado de valor incalculable.",Delito,id_15
Star Trek: Insurrection,"Cuando una raza alienígena y facciones dentro de la Flota Estelar intentan apoderarse de un planeta con propiedades ""regenerativas"", recae sobre el Capitán Picard y la tripulación del Enterprise la responsabilidad de defender a los habitantes del planeta, así como los ideales sobre los que se fundó la propia Federación.",Ciencia ficción,id_16
Welcome to the Jungle,Un retiro de empresa en una isla tropical sale terriblemente mal.,Comedia,id_17
The Immortal Life of Henrietta Lacks,"Una mujer afroamericana se convierte, sin saberlo, en una pionera de los avances médicos cuando sus células se utilizan para crear la primera línea celular humana inmortal a principios de la década de 1950.",Drama,id_18
Trolls Holiday,"Cuando la eternamente optimista Poppy, reina de los Trolls, se entera de que los Bergens ya no tienen días festivos en su calendario, solicita la ayuda de Branch y el resto de la pandilla en una misión deliciosamente peculiar para arreglar algo que los Bergens no creen que esté roto.",Aventura,id_19
Drive My Car,"Yusuke Kafuku, actor y director de teatro, que tras dos años aún no logra superar la pérdida de su amada esposa, acepta dirigir la obra ""Tío Vanja"" en un festival de teatro en Hiroshima. Allí conoce a Misaki, una joven introvertida a quien le encarga conducir su coche. Entre trayecto y trayecto, se irán revelando secretos del pasado y sinceras confesiones.",Drama,id_20
Psycho-Pass 3: First Inspector,"El inspector Kei Mikhail Ignatov se ve involucrado con una organización llamada Bifrost, con la posibilidad de liberar a su esposa si traiciona a la Unidad Uno. Koichi Azusawa coordina un ataque a la torre de la Oficina de Seguridad Pública con la ayuda de su hacker Obata, bloqueando el edificio y secuestrando al inspector Arata Shindo. Azusawa exige la renuncia de la gobernadora Karina Komiya.",Ciencia ficción,id_21
Monster High: Scaris City of Frights,"Las Monstruitas de Monster High están obsesionadas con ir a Scaris, la Ciudad de los Terrores, para participar en una competición internacional de moda donde la ganadora se convertirá en aprendiz de la mundialmente famosa diseñadora Madame Ghostier.",Animación,id_22
Garfield's Pet Force,"Nada en el mundo logra que Garfield se involucre en otra cosa que no sea comer, hasta que el musculoso supergato Garzooka irrumpe en el Mundo de los Dibujos Animados desde el universo de los cómics con noticias aterradoras. Garfield reúne la fuerza de voluntad necesaria para unirse a su superhéroe Garzooka en una lucha por salvar sus mundos.",Animación,id_23
Children of the Corn IV: The Gathering,"Grace Rhodes, estudiante de medicina, regresa a su pueblo natal cuando una extraña enfermedad azota a los niños. Los síntomas incluyen fiebre alta y espasmos, pero lo más extraño es lo que ocurre al día siguiente: todos los afectados afirman ser otra persona y comienzan a asesinar a los adultos. Tras sufrir su hermana la misma siniestra transformación, Grace empieza a creer que existe alguna conexión con una figura maligna de una secta que podría estar regresando de entre los muertos.",Horror,id_24
The Beta Test,"Un agente de Hollywood comprometido recibe una carta misteriosa que le propone un encuentro sexual anónimo y queda atrapado en un mundo siniestro de mentiras, infidelidad y datos digitales.",Suspenso,id_25
Secret of the Wings,Campanilla se adentra en el Bosque Invernal Prohibido y conoce a Periwinkle. Juntas descubren el secreto de sus alas e intentan unir a las hadas cálidas con las hadas invernales para ayudar a Pixie Hollow.,Animación,id_26
Words Bubble Up Like Soda Pop,"Tras conocerse en un día soleado y radiante, un chico tímido que se expresa a través de haikus y una chica alegre pero algo insegura comparten un breve y mágico verano.",Animación,id_27
Gravity,"La Dra. Ryan Stone, una brillante ingeniera médica en su primera misión del transbordador espacial, junto al veterano astronauta Matt Kowalsky, al mando de su último vuelo antes de retirarse. Pero durante una caminata espacial aparentemente rutinaria, ocurre una catástrofe. El transbordador se destruye, dejando a Stone y Kowalsky completamente solos, unidos únicamente el uno al otro y a la deriva en la inmensidad del espacio. El silencio ensordecedor les indica que han perdido toda conexión con la Tierra y cualquier posibilidad de rescate. A medida que el miedo se transforma en pánico, cada bocanada de aire consume el poco oxígeno que les queda. Pero la única forma de regresar a casa podría ser adentrarse aún más en la aterradora inmensidad del espacio.",Ciencia ficción,id_28
Supernova,"Sam y Tusker, pareja desde hace 20 años, recorren Inglaterra en su vieja autocaravana visitando amigos, familiares y lugares de su pasado. Desde que a Tusker le diagnosticaron demencia de inicio temprano hace dos años, el tiempo que pasan juntos es lo más importante para ellos. Sin embargo, a medida que avanza el viaje, sus planes para el futuro chocan, salen a la luz secretos y su amor se pone a prueba como nunca antes. Finalmente, deben afrontar la pregunta de qué significa amarse frente a la enfermedad de Tusker.",romance,id_29
Battlestar Galactica: The Plan,"Cuando el ataque inicial de los Cylons contra las Doce Colonias no logra la exterminación total de la vida humana según lo planeado, los dos Número Uno (Cavils) incrustados en la Galactica y la Caprica deben improvisar para destruir a los supervivientes humanos.",Ciencia ficción,id_30
Downton Abbey,"Los queridos Crawley y su intrépido personal se preparan para el momento más importante de sus vidas. La visita de los reyes de Inglaterra desatará escándalos, romances e intrigas que pondrán en peligro el futuro de Downton.",Drama,id_31
From Beyond,"Un grupo de científicos ha desarrollado el Resonador, una máquina que permite a quienes se encuentran dentro de su alcance ver más allá de la realidad perceptible. Pero cuando el experimento tiene éxito, son atacados inmediatamente por terribles formas de vida.",Horror,id_32
My Hero Academia: Two Heroes,"All Might y Deku aceptan una invitación para viajar al extranjero, a una ciudad flotante y móvil artificial llamada ""I-Island"", donde investigan dones y artículos complementarios para héroes en la convención especial ""I-Expo"", que se celebra en la isla. Durante ese tiempo, a pesar del estricto sistema de seguridad que rodea la isla, un villano logra infiltrarse, y los únicos capaces de detenerlo son los alumnos de la Clase 1-A.",Animación,id_33
Inside Job,"Una película que expone la impactante verdad tras la crisis económica de 2008. El colapso financiero global, con un coste superior a los 20 billones de dólares, provocó que millones de personas perdieran sus hogares y empleos. Mediante una exhaustiva investigación y entrevistas con importantes figuras del mundo financiero, políticos y periodistas, Inside Job narra el auge de una industria corrupta y revela las relaciones perniciosas que han corrompido la política, la regulación y el mundo académico.",Documental,id_34
Hot Tub Time Machine 2,"Cuando Lou, quien se ha convertido en el ""padre de Internet"", recibe un disparo de un asaltante desconocido, Jacob y Nick vuelven a poner en marcha la máquina del tiempo para salvar a su amigo.",Comedia,id_35
The Secret of Moonacre,"Cuando el padre de Maria Merryweather, de 13 años, fallece, dejándola huérfana y sin hogar, se ve obligada a abandonar su lujosa vida en Londres para ir a vivir con Sir Benjamin, un tío excéntrico cuya existencia desconocía, en la misteriosa mansión Moonacre.",Aventura,id_36
The Accused,"Dolores llevaba una vida de estudiante de clase alta hasta que su mejor amiga fue encontrada brutalmente asesinada. Dos años después, es la única sospechosa acusada de un crimen que ha acaparado la atención de los medios y la ha puesto en el centro de la atención pública. Dolores pasa sus días preparándose para el juicio, recluida en su casa mientras sus padres trabajan en equipo, dispuestos a hacer cualquier cosa para defenderla. Ni siquiera el mejor abogado es suficiente; controlan obsesivamente todo lo que la rodea: su apariencia, sus actividades, su alimentación y con quién se relaciona. Pero a medida que avanza el juicio y aumenta la presión, surgen sospechas y secretos en el seno de la familia. Acorralada, cada vez más aislada y justo cuando cualquier error podría resultar desastroso, Dolores pone en riesgo toda la estrategia.",Suspenso,id_37
Daisy Quokka: World’s Scariest Animal,"Cuando una quokka adorable e insoportablemente optimista llamada Daisy quiere lograr lo imposible —ganar el campeonato anual del ""Animal más temible del mundo""—, busca la ayuda de un excampeón venido a menos, un gruñón cocodrilo de agua salada, para que la ayude a alcanzar sus sueños y demostrar que los campeones pueden venir en todos los tamaños.",Animación,id_38
Guns Akimbo,"Un tipo común y corriente se ve obligado de repente a luchar en una batalla campal para un sitio web clandestino que transmite violencia en directo. Miles debe enfrentarse al fuertemente armado Nix y, además, rescatar a su exnovia secuestrada.",Comedia,id_39
Permis de construire,"Tras el fallecimiento de su padre, un dentista parisino hereda un terreno y el derecho a construir una casa en él. La situación se complica cuando descubre que el terreno se encuentra en Córcega.",Comedia,id_40
Sword of the Stranger,"Perseguido por temibles asesinos chinos, el joven Kotaro y su perro se topan con Sin Nombre, un misterioso desconocido que se ve envuelto en la persecución. Estos insólitos compañeros forjan un vínculo al salvar al perro de un ataque con veneno, pero el caos estalla cuando los asesinos encuentran a Kotaro, y Sin Nombre debe enfrentarse a su pasado antes de que un destino terrible vuelva a acecharlo.",Acción,id_41
Hocus Pocus,"Tras 300 años de letargo, tres hermanas brujas resucitan accidentalmente en Salem la noche de Halloween, y tres niños y su nuevo amigo felino deberán poner fin al reinado de terror de las brujas de una vez por todas.",Comedia,id_42
Pokémon: Mewtwo Strikes Back - Evolution,"Tras aceptar la invitación de un misterioso entrenador, Ash, Misty y Brock conocen a Mewtwo, un Pokémon creado artificialmente que quiere luchar.",Animación,id_43
Hesher,"Un niño pequeño ha perdido a su madre y está perdiendo el contacto con su padre y con el mundo que lo rodea. Entonces conoce a Hesher, quien logra complicar aún más su vida.",Drama,id_44
Desperate Riders,"Después de que Kansas Red rescata al joven Billy de un tiroteo en una partida de cartas, el niño le pide ayuda a Red para proteger a su familia del forajido Thorn, quien acaba de secuestrar a la madre de Billy, Carol. Mientras Red y Billy cabalgan para rescatar a Carol, se topan con la hermosa y dura Leslie, quien ha logrado escapar de los hombres de Thorn. Los tres corren a toda velocidad para impedir la boda de Thorn con Carol, disparando sin cesar, pero ¿querrá ella ser rescatada?",Occidental,id_45
The Ledge,Un thriller en el que una batalla de filosofías entre un cristiano fundamentalista y un ateo se convierte en una batalla de voluntades letal.,Drama,id_46
Project A: Part II,"Dragon ha sido trasladado para convertirse en el jefe de policía del distrito de Sai Wan, y tiene que enfrentarse a un capo de la mafia, revolucionarios anti-manchúes, algunos piratas fugitivos, leales a los manchúes y un superintendente de policía corrupto.",Acción,id_47
Gokuraku sentô: Kyonyû yumomi,"En cierta ciudad se encuentra ""Tachibana Yusen"". Allí hay un baño público que Kasuko, quien posee unos pechos extraordinariamente grandes, heredó de su padre. Hay clientes habituales desde la época de su padre, pero jóvenes y mayores se reúnen allí para admirar los grandes pechos de Kasuko. Sin embargo, se decidió abrir un gimnasio con spa en el vecindario, y como contramedida, se estaban considerando nuevos servicios para atraer a los clientes habituales.",Comedia,id_48
Tell It to the Bees,"La doctora Jean Markham regresa al pueblo que dejó en su adolescencia para hacerse cargo de la consulta de su difunto padre. Cuando una pelea en el patio del colegio lleva a Charlie a su consulta, ella lo invita a visitar las colmenas de su jardín y a contarles sus secretos a las abejas, como ella hacía antes. La nueva amistad entre el chico y la apicultora introduce a su madre, Lydia, en la vida de Jean.",romance,id_49
Flushed Away,"Roddy, un ratón de la alta sociedad londinense, es arrojado al inodoro por Sid, una rata común de alcantarilla. Prepárate para una alocada aventura en las profundidades de las alcantarillas de Ratrópolis, donde Roddy conoce a la ingeniosa Rita, al sapo que odia a los roedores y a sus fieles secuaces, Spike y Whitey.",Aventura,id_50
Would You Rather,"Desesperada por ayudar a su hermano enfermo, una joven acepta participar en un juego mortal de ""¿Qué prefieres?"", organizado por un aristócrata sádico.",Suspenso,id_51
The Emerald Forest,"Durante diez años, el ingeniero Bill Markham ha buscado incansablemente a su hijo Tommy, desaparecido en los confines de la selva amazónica brasileña. Milagrosamente, lo encuentra viviendo entre la tribu amazónica aislada que lo adoptó. Y es entonces cuando comienza la verdadera aventura de Bill. Su hijo es ahora un miembro de la tribu que se mueve con destreza por este terreno hermoso pero peligroso, temeroso únicamente de aquellos que pretenden explotarlo. Mientras Bill intenta rescatarlo de la ferocidad de la selva indómita, Tommy pone a prueba la idea que Bill tiene de la verdadera civilización y sus nociones sobre quién necesita ser rescatado.",Acción,id_52
The Collector,"Freddie es un empleado de banco inepto y sin futuro. Su único pasatiempo es coleccionar mariposas, lo que le proporciona una sensación de poder y control que le falta por completo en su vida. Hereda una gran suma de dinero y se compra una casa de campo. Aún incapaz de desenvolverse con naturalidad en situaciones sociales, empieza a planear cómo conseguir novia, del mismo modo que colecciona mariposas. Prepara el sótano de la casa para usarlo como criadero y acecha a su víctima durante varios días.",Drama,id_53
Legend of the Fist: The Return of Chen Zhen,"Siete años después de la aparente muerte de Chen Zhen, quien fue asesinado a tiros tras descubrir al responsable del asesinato de su maestro (Huo Yuanjia) en el Shanghái ocupado por los japoneses, un misterioso forastero llega del extranjero y entabla amistad con un jefe de la mafia local. Ese hombre es Chen Zhen, disfrazado, quien pretende infiltrarse en la organización criminal cuando esta forme una alianza con los japoneses. Disfrazado de justiciero enmascarado por la noche, Chen planea eliminar a todos los implicados y apoderarse de una lista de asesinatos preparada por los japoneses.",Drama,id_54
A California Christmas: City Lights,"La historia sigue a Callie y Joseph un año después de que se enamoraran. Ahora dirigen una granja lechera y una bodega, pero su romance se ve amenazado cuando las obligaciones laborales y familiares hacen que Joseph regrese a la ciudad.",romance,id_55
The Machinist,"El Maquinista narra la historia de Trevor Reznik, un operario de torno que sufre de insomnio. En un taller mecánico, los riesgos laborales ya son bastante graves en circunstancias normales; sin embargo, para Trevor, los riesgos se ven agravados por la fatiga. Trevor ha perdido la capacidad de dormir. Este no es un insomnio común...",Suspenso,id_56
The Exorcism of Emily Rose,"Cuando una joven llamada Emily Rose fallece, todos culpan al exorcismo que el padre Moore le practicó antes de su muerte. El sacerdote es arrestado bajo sospecha de asesinato. El juicio comienza con la abogada Erin Bruner representando a Moore, pero no será fácil, ya que nadie quiere creer la versión del padre Moore.",Delito,id_57
Billy Madison,"Billy Madison, de 27 años, es hijo de Bryan Madison, un hombre muy rico que ha hecho fortuna en la industria hotelera. Billy heredará el imperio de su padre, pero solo si logra completar los 12 cursos, dos semanas por curso, para demostrar que tiene lo necesario para dirigir el negocio familiar.",Comedia,id_58
Yes Man,Carl Allen ha encontrado una manera de liberarse de la tristeza posterior al divorcio y de un trabajo sin futuro: abrazar la vida y decir sí a todo.,Comedia,id_59
Escaflowne: The Movie,"Gaea es un reino mítico regido por la espada y la hechicería, sumido en la sangre y la violencia. Inmersa en un conflicto que no comprende del todo, Hitomi Kanzaki ayuda al joven príncipe Van en su viaje para luchar contra el Clan del Dragón Negro. La batalla por la legendaria armadura de dragón, Escaflowne, ha comenzado.",Animación,id_60
Maggie Simpson in Playdate with Destiny,"Para Maggie Simpson, parecía un día cualquiera en el parque. Pero cuando Maggie se enfrenta a un peligro en el área de juegos, un pequeño bebé, un verdadero héroe, la rescata y le roba el corazón.",Animación,id_61
On the Waterfront,"Terry Malloy sueña con ser boxeador profesional mientras cuida de sus palomas y hace recados en los muelles para Johnny Friendly, el corrupto jefe del sindicato de estibadores. Terry presencia un asesinato cometido por dos matones de Johnny y, posteriormente, conoce a la hermana del fallecido, sintiéndose responsable de su muerte. Ella le presenta al padre Barry, quien intenta obligarlo a proporcionar información a los tribunales que desmantelaría a la mafia portuaria.",Delito,id_62
Walking Tall,"Buford Pusser es un luchador cuya esposa quiere que siente cabeza, así que se van a su ciudad natal en Tennessee, donde planea iniciar un negocio con su padre. Pero se sorprende al descubrir todo tipo de sobornos y corrupción. Y cuando es víctima de ellos, decide contraatacar postulándose contra el sheriff corrupto. Gana y libra su propia pequeña guerra contra ellos.",Acción,id_63
Clouds of Sils Maria,Una actriz veterana se enfrenta a un incómodo reflejo de sí misma cuando acepta participar en una reposición de la obra que lanzó su carrera 20 años antes.,Drama,id_64
Amores Perros,"Un fatal accidente automovilístico en la Ciudad de México desencadena una serie de sucesos en la vida de tres personas: un joven que anhela fugarse con su cuñada, una supermodelo y un indigente. Sus vidas se ven catapultadas a circunstancias imprevistas provocadas por el destino aparentemente insignificante de un perro.",Drama,id_65
All Things Fair,"Stig es un alumno de 15 años de Viola, una profesora de 37. Él se siente atraído por su belleza y madurez, mientras que ella se siente atraída por su juventud e inocencia, un alivio providencial para su marido borracho y miserable.",Drama,id_66
Christmas Made to Order,"Cuando Steven, arquitecto y aficionado a la Navidad, recibe a su familia en casa para las fiestas, contrata a Gretchen, organizadora de eventos navideños, para que llene su hogar de alegría festiva. El espíritu navideño de Gretchen logra unir a la familia de Steven, pero ninguno esperaba que también los acercara. Tras una gran oportunidad que se le presenta a Gretchen, ella y Steven deben decidir qué es lo verdaderamente importante en la vida.",Película para televisión,id_67
Nosferatu,El conde vampiro Orlok está interesado en una nueva residencia y en la joven esposa de su agente inmobiliario. Adaptación no autorizada de F.W. Murnau de «Drácula» de Bram Stoker.,Fantasía,id_68
We Couldn't Become Adults,"Impulsado por una solicitud de amistad, un hombre irresponsable de cuarenta y tantos años rememora sus relaciones pasadas desde los años 90 en adelante, buscando sus esperanzas y sueños perdidos.",Drama,id_69
Winter in Wartime,"Durante la Segunda Guerra Mundial, en el gélido invierno de 1944-45, el oeste de los Países Bajos se vio asolado por una hambruna. Mucha gente emigró al este para mantener a sus familias. Michiel, de catorce años, ansiaba unirse a la resistencia holandesa, para disgusto de su padre, quien, como alcalde, se esforzaba por evitar que la violencia se descontrolara en el pueblo.",Drama,id_70
SuperFly,"El delincuente habitual Youngblood Priest quiere abandonar el mundo del narcotráfico de Atlanta, pero a medida que aumenta las ventas, un pequeño error amenaza con desmantelar toda la operación antes de que pueda marcharse.",Acción,id_71
Leprechaun: Origins,Dos jóvenes parejas que viajan de mochileros por Irlanda descubren que una de las leyendas más famosas de Irlanda es una aterradora realidad.,Horror,id_72
Braddock: Missing in Action III,"Cuando al coronel James Braddock le informan que su esposa asiática y su hijo de 12 años siguen vivos en el Vietnam comunista, emprende un asalto en solitario para liberarlos. Armado con la última tecnología de armamento, Braddock se abre paso hasta el corazón del país y termina escapando a duras penas con decenas de niños amerasiáticos maltratados. Luchando por mantenerlos con vida mientras burla a un sádico oficial vietnamita, Braddock desata una frenética carrera a través de la jungla en busca de la libertad.",Acción,id_73
La Haine,"Tras una noche caótica de disturbios en un suburbio marginal de París, tres jóvenes amigos, Vinz, Hubert y Saïd, deambulan sin rumbo fijo a la espera de noticias sobre el estado de salud de un amigo en común que ha resultado gravemente herido al enfrentarse a la policía.",Drama,id_74
The Captain,"Alemania, 1945. El soldado Willi Herold, desertor del ejército alemán, encuentra por casualidad el uniforme de un capitán nazi abandonado durante las últimas y desesperadas semanas del Tercer Reich. Animado por el atractivo del traje que ha robado para no pasar frío, Willi descubre que muchos alemanes seguirán al líder, sea quien sea.",Guerra,id_75
Life,"En la década de 1930, dos hombres del Misisipi entablan amistad tras ser condenados juntos a cadena perpetua por un crimen que no cometieron.",Comedia,id_76
Empire of Dreams: The Story of the Star Wars Trilogy,"Desde las primeras versiones del guion hasta los estrenos de gran éxito, descubre la creación de la trilogía de Star Wars.",Documental,id_77
The Hand of God,"En la Nápoles de los años 80, un adolescente italiano algo torpe que lucha por encontrar su lugar en el mundo experimenta una mezcla de desamor y liberación después de ser salvado inadvertidamente de un extraño accidente por la leyenda del fútbol Diego Maradona.",Drama,id_78
The Great Hack,Los datos —posiblemente el activo más valioso del mundo— se están utilizando como arma para librar guerras culturales y políticas. El oscuro mundo de la explotación de datos se revela a través de las impredecibles experiencias personales de los protagonistas de la explosiva historia de los datos de Cambridge Analytica y Facebook.,Documental,id_79
Sniper: Ultimate Kill,"Un despiadado narcotraficante colombiano ha estado utilizando a un asesino a sangre fría apodado El Diablo para eliminar a su competencia. Ante la amenaza que representa para Estados Unidos, la DEA contrata a un francotirador de la Infantería de Marina para matar a El Diablo y capturar al cabecilla.",Acción,id_80
Abduction,Un joven se propone descubrir la verdad sobre su vida tras encontrar una foto suya de bebé en una página web de personas desaparecidas.,Suspenso,id_81
Ant-Man,"Armado con la asombrosa habilidad de encogerse pero aumentar su fuerza, el maestro ladrón Scott Lang debe sacar a relucir su héroe interior y ayudar a su mentor, el Doctor Hank Pym, a proteger el secreto de su espectacular traje de Ant-Man de una nueva generación de amenazas colosales. Contra obstáculos aparentemente insuperables, Pym y Lang deben planear y ejecutar un atraco que salvará al mundo.",Ciencia ficción,id_82
Premium Rush,"En Manhattan, un mensajero en bicicleta recoge un sobre que llama la atención de un policía corrupto, quien persigue al ciclista por toda la ciudad.",Delito,id_83
The Green Hornet,"Britt Reid, heredero de la mayor fortuna periodística de Los Ángeles, es un playboy mimado que, hasta ahora, ha disfrutado de una vida sin rumbo. Tras la muerte de su padre, Britt conoce a Kato, un ingenioso empleado de la empresa. Al darse cuenta de que tienen el talento y los recursos para labrarse un futuro, Britt y Kato unen fuerzas como justicieros enmascarados para acabar con el criminal más poderoso de la ciudad, Chudnofsky.",Acción,id_84
We Need to Talk About Kevin,"Tras el horrible acto que comete su hijo Kevin, la angustiada madre Eva reflexiona sobre su complicada relación con su hijo perturbado a medida que crecía, desde su infancia hasta la adolescencia.",Drama,id_85
Fire Down Below,"Cuando un representante de la EPA es asesinado en una pequeña comunidad de los Apalaches, el agente encubierto de la EPA, Jack Taggart, es enviado al lugar, haciéndose pasar por un trabajador de mantenimiento que colabora con una agencia de ayuda cristiana, para determinar qué sucedió.",Acción,id_86
My Name Is Nobody,"Jack Beauregard, uno de los pistoleros más grandes del Viejo Oeste, solo desea retirarse en paz y mudarse a Europa. Pero un joven pistolero, conocido como ""Nadie"", que idolatra a Beauregard, quiere que se retire por todo lo alto. Así que organiza un combate para que Jack se enfrente a la banda de 150 hombres conocida como La Banda Salvaje y se gane un lugar en la historia.",Comedia,id_87
I Origins,"I Origins narra la historia de un biólogo molecular que estudia la evolución del ojo humano. Su trabajo impregna su vida tras un breve encuentro con una joven exótica que se aleja de él. Años después, continúa su investigación con su compañero de laboratorio, y juntos realizan un sorprendente descubrimiento científico con profundas implicaciones que ponen a prueba tanto sus creencias científicas como espirituales. Viajando al otro lado del mundo, arriesga todo lo que conoce para validar su teoría.",Ciencia ficción,id_88
Megan Is Missing,"Megan, de catorce años, y su mejor amiga Amy pasan mucho tiempo en internet, publicando vídeos y chateando con chicos. Una noche, Megan chatea con un chico llamado Josh, quien la convence para que salgan juntos. Al día siguiente, Megan desaparece para siempre. Basada en casos reales de secuestro infantil.",Drama,id_89
Knowing,"Un profesor abre una cápsula del tiempo que ha sido desenterrada en la escuela primaria de su hijo; en ella hay algunas predicciones escalofriantes, algunas que ya se han cumplido y otras que están a punto de ocurrir, que le llevan a creer que su familia desempeña un papel en los acontecimientos que están a punto de desarrollarse.",Acción,id_90
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,"Cuatro talentosos músicos alienígenas son secuestrados por un productor discográfico que los disfraza de humanos. Shep, un piloto espacial enamorado de la bajista Stella, los sigue hasta la Tierra. Reprogramados para olvidar sus verdaderas identidades y rebautizados como The Crescendolls, el grupo rápidamente alcanza un enorme éxito tocando pop comercial sin alma. En un concierto, Shep logra liberar a todos los músicos excepto a Stella, y la banda se propone redescubrir quiénes son en realidad y rescatar a Stella.",Animación,id_91
Born on the Fourth of July,"Biografía de Ron Kovic. Paralizado en la guerra de Vietnam, se convierte en activista político pacifista y defensor de los derechos humanos tras sentirse traicionado por el país por el que luchó.",Drama,id_92
Barefoot in the Park,"En esta película basada en una obra de teatro de Neil Simon, los recién casados ​​Corie, una mujer de espíritu libre, y Paul Bratter, un abogado estirado, comparten un apartamento en un sexto piso en Greenwich Village. Poco después de casarse, Corie intenta encontrarle compañía a su madre, Ethel, que ahora está sola, y le presenta a su vecino Victor. Un comportamiento inapropiado durante una cita doble provoca un conflicto, y la joven pareja considera el divorcio.",Comedia,id_93
